record_id,category,cluster_id,Flavor,Product Type,Retail UPC,Packing Type,Pack Quantity,Brand,Size/Weight,Manufacturer Stock Number,source,title,description
7764333,Grocery And Gourmet Food,3444398,n/a,Vase,n/a,n/a,n/a,Waterford,5in,n/a,www.waterford.com,"""Lismore Candy 5in Bud Vase"" Vase - Waterford | US""","""A sweet trio of Classic Lismore Bud Vases present petite treatments of three traditional silhouettes ideal for the darling buds any time.""@en "
5036176,Grocery And Gourmet Food,3941540,Double Chocolate Chip,n/a,n/a,Pack,30.0,Homefree®,0.95 oz,HMF01948,www.ontimesupplies.com,"""Gluten Free Double Chocolate Chip Mini Cookies, 0.95 oz Pack, 30/Carton"" Cookies by Homefree® HMF01948 - OnTimeSupplies.com""","""Don't settle when it comes to cookies—select the ones that were recommended by the Good Housekeeping Research Institute as the ""Best Gluten Free Cookies"" nationally! Free of the eight most common food allergens, including nuts and dairy. Gently sweetened and gluten free, with two grams of fiber. Certified a good source of whole grain: At least 9 grams per bag! Low sodium cookies are made in dedicated bakery free of peanuts, tree nuts, eggs, dairy, wheat and gluten, with carefully sourced and allergen-tested ingredients. These bite-sized crunchy double chocolate chip mini cookies are so healthy that they are on the ""Smart Snacks"" list of the USDA and Alliance for a Healthier Generation. 
"" "
3041797,Grocery And Gourmet Food,3941540,n/a,n/a,n/a,n/a,n/a,Homefree,n/a,HMF01948,www.officesupply.com,""" Homefree Gluten Free Mini Cookies ""-US ""Homefree - HMF01948 | OfficeSupply.com""-US",
13168096,Grocery And Gourmet Food,3941540,Double Chocolate Chip,n/a,n/a,Pack,30.0,Homefree,0.95 oz,HMF01948,www.restockit.com,"""Homefree Gluten Free Double Chocolate Chip Mini Cookies"" "" Homefree Cookies 0.95 oz Pack 30/Carton - HMF01948 ReStockIt ""","""Don't settle when it comes to cookies—select the ones that were recommended by the Good Housekeeping Research Institute as the ""Best Gluten Free Cookies"" nationally! Free of the eight most common food allergens, including nuts and dairy. Gently sweetened and gluten free, with two grams of fiber. Certified a good source of whole grain: At least 9 grams per bag! Low sodium cookies are made in dedicated bakery free of peanuts, tree nuts, eggs, dairy, wheat and gluten, with carefully sourced and allergen-tested ingredients. These bite-sized crunchy double chocolate chip mini cookies are so healthy that they are on the ""Smart Snacks"" list of the USDA and Alliance for a Healthier Generation. Food Type: Cookies; Flavor: Double Chocolate Chip; Capacity (Weight): 0.95 oz; Packing Type: Pack. Homefree is a certified B Corporation for strong commitment to social and environmental responsibility.
""@en "
8130106,Grocery And Gourmet Food,3941668,n/a,n/a,44000015923,n/a,n/a,Homefree,n/a,HMF01873,www.officesupply.com,""" Homefree Gluten Free Mini Cookies ""-US ""Homefree - HMF01873 | OfficeSupply.com""-US",
11970039,Grocery And Gourmet Food,3941668,Chocolate Chip,Cookies,44000015923,Pack,30.0,Homefree,1.1 oz,HMF01873,www.restockit.com,"""Homefree Gluten Free Chocolate Chip Mini Cookies"" "" Homefree Cookies 1.1 oz Pack 30/Carton - HMF01873 ReStockIt ""","""Take a bite out of our most popular cookie—Homefree's tasty, healthy chocolate chip cookies are a great addition to snacktime. Certified gluten free, vegan, kosher pareve and non-GMO verified. Certified a good source of whole grain: At least 9 grams per bag! Homefree® cookies are made with allergen-tested and carefully sourced ingredients in Homefree's dedicated bakery free of peanuts, tree nuts, eggs, dairy, and wheat, so that everyone can enjoy a treat. Cookies contain nothing artificial, contain no trans fat, soy, rice or cholesterol and are low sodium. Featured on the Today show as a recommended delicious, healthy snack. Food Type: Cookies; Flavor: Chocolate Chip; Capacity (Weight): 1.1 oz; Packing Type: Pack. Homefree is a certified B Corporation for strong commitment to social and environmental responsibility.
""@en "
15758546,Grocery And Gourmet Food,3941668,Chocolate Chip,n/a,44000015923,Pack,30.0,Homefree,1.1 oz,HMF01873,www.ontimesupplies.com,"""Gluten Free Chocolate Chip Mini Cookies, 1.1 oz Pack, 30/Carton"" Cookies by Homefree® HMF01873 - OnTimeSupplies.com""","""Take a bite out of our most popular cookie - Homefree's tasty, healthy chocolate chip cookies are a great addition to snacktime. Certified gluten free, vegan, kosher pareve and Non-GMO verified. Certified a good source of whole grain: At least 9 grams per bag! Homefree® cookies are made with allergen-tested and carefully sourced ingredients in Homefree’s dedicated bakery free of peanuts, tree nuts, eggs, dairy, and wheat, so that everyone can enjoy a treat. Cookies contain nothing artificial, contain no trans fat, soy, rice or cholesterol and are low sodium. Featured on the Today show as a recommended delicious, healthy snack.				
							"" "
9688777,Grocery And Gourmet Food,3946038,Chocolate Chip; Double Chocolate Chip; Vanilla,n/a,44000015923,Pack,30.0,Homefree,"2 lb. Net Weight; 10/1.1 oz, 10/0.95 oz, 10/1.1 oz",HMF01305,www.restockit.com,"""Homefree Gluten Free Mini Cookies Variety Pack"" 30/Carton - HMF01305 ReStockIt "" "" Homefree Pack 1.1 oz/0.95 oz/1.1 oz Packs","""Everyone can join in snack time with this delicious variety pack of gluten-free, whole grain mini cookies. Great for special dietary needs; these cookies are also low glycemic and nut free. Multiple flavors for multiple tastes: single serve bags of crunchy cookies in Chocolate Chip, Double Chocolate Chip, and Vanilla. All Homefree® cookies are free of the eight most common food allergens (except soy lecithin in the Chocolate Chip Mini Cookies) and are certified as a good source of whole grain. The vanilla mini cookies are low glycemic and certified organic (70% organic ingredients). Food Type: Cookies; Flavor: Chocolate Chip; Double Chocolate Chip; Vanilla; Capacity (Weight): 2 lb. Net Weight; 10/1.1 oz, 10/0.95 oz, 10/1.1 oz; Packing Type: Pack. Homefree is a certified B Corporation for strong commitment to social and environmental responsibility.
""@en "
8812958,Grocery And Gourmet Food,3946038,"Chocolate Chip, Double Chocolate Chip, and Vanilla",n/a,44000015923,single serve bags,30.0,Homefree®,1.1 oz/0.95 oz/1.1 oz,HMF01305,www.ontimesupplies.com,"""Gluten Free Mini Cookies Variety Pack, 1.1 oz/0.95 oz/1.1 oz Packs, 30/Carton"" Pack by Homefree® HMF01305 - OnTimeSupplies.com""","""Everyone can join in snack time with this delicious variety pack of gluten-free, whole grain mini cookies. Great for special dietary needs; these cookies are also low glycemic and nut free. Multiple flavors for multiple tastes: single serve bags of crunchy cookies in Chocolate Chip, Double Chocolate Chip, and Vanilla. All Homefree® cookies are free of the eight most common food allergens (except soy lecithin in the Chocolate Chip Mini Cookies) and are certified as a good source of whole grain. The vanilla mini cookies are low glycemic and certified organic (70% organic ingredients). 
"" "
9736270,Grocery And Gourmet Food,5187429,n/a,n/a,44000015923,n/a,n/a,Dixie,16 oz,n/a,www.officesupply.com,""" Dixie PerfecTouch 16 oz Paper Coffee Cups ""-US ""Dixie | OfficeSupply.com""-US",
11900385,Grocery And Gourmet Food,5187429,n/a,n/a,44000015923,Pack,50.0,Dixie,16oz,n/a,www.ontimesupplies.com,"""Hot Cups, Paper, 16oz, Coffee Dreams Design, 50/Pack"" Cups by Dixie® DXE5356CD - OnTimeSupplies.com""","""Patented paper process provides excellent insulation and helps reduce the need for costly double-cupping and beverage sleeves. Cup design provides a comfortable grip. Contains no polystyrene foam.				
							"" "
11108667,Grocery And Gourmet Food,5187429,n/a,n/a,44000015923,Pack,50.0,Georgia Pacific Dixie,16 Oz,DXE5356CD,www.restockit.com,"""Georgia Pacific Dixie 16 Oz Hot Paper Cups"" Coffee Design Pack of 50 - DXE5356CD ReStockIt "" "" Georgia Cups","""Dixie® PerfecTouch® hot cups are the perfect insulated paper cups. You and your customers will love it's comfortable, secure feel; non-slip hold & upscale graphics. Patented paper process insulates better than costly double-cupping. Contains no polystyrene foam. Dixie® PerfecTouch® Hot Cups Product Features:First insulated paper cup to eliminate double cupping and the need for expensive beverage sleevesPreferred over other paper cups by 82% of consumers (*Source: Peter Honig Associates, an independent research firm.)Comfortable, sturdy, non-slip feelPatented paper process provides unique insulation without altering beverage flavorFoodservice & Packaging Institute’s “2002 Best of the Best""Can be processed successfully through commercial scale compostingALTERNATE ITEM #: GEP5356CD, 540421, 478407, 20923431, B002761ZL8UPC: 078731987204INNER PACKAGING: 50 Cups Per Pack.
""@en "
9386933,Grocery And Gourmet Food,5187429,n/a,Beverages,44000015923,Cups,n/a,Dixie,16 oz,n/a,www.officesupply.com,"""Dixie PerfecTouch 16 oz Paper Coffee Cups""-US ""Shop for Cups & Mugs Beverage Supplies and More | OfficeSupply.com""-US",
17367114,Grocery And Gourmet Food,5970071,n/a,Coffee and Tea,074471000500,n/a,n/a,Café Bustelo,5/8 lb,n/a,www.officesupply.com,""" Café Bustelo Ground Coffee (5/8 lb) ""-US ""Café | OfficeSupply.com""-US",
16203636,Grocery And Gourmet Food,5970071,Espresso,n/a,074471000500,n/a,n/a,Café Bustelo,10 oz,FOL00050,www.ontimesupplies.com,"""Espresso, 10 oz"" ""Espresso by Café Bustelo FOL00050 - OnTimeSupplies.com""","""Pure, flavorful espresso ground coffee. Café Bustelo's bold blend is roasted and ground from the finest coffees in the world. No fancy equipment is needed. Just brew your way and enjoy it your way. 
"" "
5404702,Grocery And Gourmet Food,5970071,Espresso,Coffee,074471000500,n/a,n/a,Cafe Bustelo,10 oz,FOL00050,www.restockit.com,"""Cafe Bustelo Café Bustelo"" 10 oz - FOL00050 ReStockIt "" "" Cafe Espresso","""Pure, flavorful espresso ground coffee. Café Bustelo's bold blend is roasted and ground from the finest coffees in the world. No fancy equipment is needed. Just brew your way and enjoy it your way.  Beverage Type: Coffee; Flavor: Espresso; Packing Type: C UPC: 074471000500
""@en "
13847381,Grocery And Gourmet Food,6590518,Medium Roast,n/a,082846801195,Individually foil wrapped and nitrogen flushed,18.0,Melitta,n/a,MLA75415,www.ontimesupplies.com,"""Coffee Pods, Love at First Sip (Medium Roast), 18 Pods/Box"" Pods by Melitta® MLA75415 - OnTimeSupplies.com""","""Individually foil wrapped and nitrogen flushed for freshness. Each coffee pod is made with only 100% high-grown Arabica coffee. A quick and easy way to have coffee. 
"" "
6867339,Grocery And Gourmet Food,6590518,n/a,Coffee and Tea,082846801195,Pods,n/a,Melitta,n/a,MLA75415,www.officesupply.com,""" Melitta Single Cup Coffee Pods ""-US ""Melitta - MLA75415 | OfficeSupply.com""-US",
13142107,Grocery And Gourmet Food,6590518,Medium Roast,Coffee and Tea,082846801195,Individually foil wrapped and nitrogen flushed,18.0,Melitta,n/a,n/a,www.restockit.com,"""Melitta One:One 75415 Medium Roast Coffee Pods"" ""Love at First Sip"" - MLA75415 ReStockIt "" "" Melitta Pods","""One:One™ Coffee and Tea PodsIndividually foil wrapped and nitrogen flushed for the ultimate in freshness. 18 pods per box. NOTE: This product cannot be returned.Coffee PodsMade from only 100% high grown Arabica coffee.Medium RoastLove at First SipNot compatible with Keurig machines.ALTERNATE ITEM #: 639413, 802253, 22095705, B001M074MEUPC: 082846801195
""@en "
6976162,Grocery And Gourmet Food,8272790,n/a,n/a,086631906980,n/a,n/a,N'Joy,n/a,NJO827820,www.officesupply.com,""" N'Joy Pure Sugar Cane ""-US ""N'Joy - NJO827820 | OfficeSupply.com""-US",
13152882,Grocery And Gourmet Food,8272790,n/a,n/a,086631906980,Canister,8.0,N'Joy,22 oz,NJO827820,www.ontimesupplies.com,"""Pure Sugar Cane, 22 oz Canisters, 8 per Carton"" Cane by N'Joy NJO827820 - OnTimeSupplies.com""","""100% pure cane sugar is nature's natural sweetener. Perfect for high-volume foodservice use. Convenient, easy-to-use canister with easy open/easy close pour spout eliminates mess. Granulated. 
"" "
4976497,Grocery And Gourmet Food,8272790,Plain,n/a,086631906980,Canister,8.0,N'Joy,n/a,NJO827820,www.restockit.com,"""N'Joy Pure Sugar Cane"" "" N'Joy Cane 22 oz Canisters 8 per Carton - NJO827820 ReStockIt ""","""100% pure cane sugar is nature's natural sweetener. Perfect for high-volume foodservice use. Convenient, easy-to-use canister with easy open/easy close pour spout eliminates mess. Granulated.  Flavor: Plain; Packing Type: Canister; Premeasured: Yes; Capac COLOR: WhiteUPC: 086631906980
""@en "
15480635,Grocery And Gourmet Food,8272790,n/a,n/a,086631906980,n/a,n/a,N'Joy,n/a,n/a,www.officesupply.com,"""N'Joy Pure Sugar Cane ""-US ""Value Packs""-US",
4662004,Grocery And Gourmet Food,10248100,n/a,n/a,071142817801,Bottle,40.0,Nestle,16.9 oz,n/a,www.restockit.com,"""Nestle Natural Spring Water"" 16.9 oz Bottle 40 Bottles/Carton - NLE1039242 ReStockIt "" "" Nestle Water","""Naturally great tasting water fits any occasion. Bottles are perfectly sized for your fridge. Beverage Type: Water; Packing Type: Bottle; Capacity (Volume): 16.9 oz; Quantity: 40 per carton. UPC: 071142817801
""@en "
8183401,Grocery And Gourmet Food,10248100,n/a,n/a,071142817801,Bottle,40.0,Arrowhead,16.9 oz,NLE1039242,www.ontimesupplies.com,"""Natural Spring Water, 16.9 oz Bottle, 40 Bottles/Carton"" Water by Arrowhead® NLE1039242 - OnTimeSupplies.com""","""Naturally great tasting water fits any occasion. Bottles are perfectly sized for your fridge. 
"" "
12386559,Grocery And Gourmet Food,12744890,n/a,n/a,028400225960,n/a,n/a,Grandma's,n/a,LAY13256,www.officesupply.com,""" Grandma's Cookies Variety Tray ""-US ""Grandma's - LAY13256 | OfficeSupply.com""-US",
1273456,Grocery And Gourmet Food,12744890,"Chocolate Chip, Peanut Butter, Oatmeal Raisin, Chocolate Brownie and Vanilla Crème",n/a,028400225960,individually wrapped,36.0,Frito Lay,2.5 oz,n/a,www.restockit.com,"""Frito Lay Grandma's Cookies Variety Tray 36 Ct"" "" Frito Ct 2.5 oz Packs - LAY13256 ReStockIt ""","""Assortment includes Chocolate Chip, Peanut Butter, Oatmeal Raisin, Chocolate Brownie and Vanilla Crème cookies. Great for snacking on-the-go or topping-off your lunch. Contains 36 individually wrapped 2.5 oz packs.  Food Type: Cookies; Flavor: Chocolate C UPC: 028400225960
""@en "
2125823,Grocery And Gourmet Food,12744890,"Chocolate Chip, Peanut Butter, Oatmeal Raisin, Chocolate Brownie and Vanilla Crème",n/a,028400225960,individually wrapped,36.0,Grandma's,2.5 oz,LAY13256,www.ontimesupplies.com,"""Cookies Variety Tray 36 Ct, 2.5 oz Packs"" Ct by Grandma's® LAY13256 - OnTimeSupplies.com""","""Assortment includes Chocolate Chip, Peanut Butter, Oatmeal Raisin, Chocolate Brownie and Vanilla Crème cookies. Great for snacking on-the-go or topping-off your lunch. Contains 36 individually wrapped 2.5 oz packs. 
"" "
2077016,Grocery And Gourmet Food,12853803,Cocoa Roasted Almonds,n/a,44000015923,Pack,6.0,Emerald®,5 oz,DFD86364,www.ontimesupplies.com,"""Cocoa Roasted Almonds, 5 oz Pack, 6/Carton"" Almonds by Emerald® DFD86364 - OnTimeSupplies.com""","""A natural source of protein, vitamins and minerals that give you a boost of energy. Perfect size to take with you on the go. 
"" "
13033950,Grocery And Gourmet Food,12853803,Cocoa Roasted Almonds,n/a,44000015923,Bag,n/a,Emerald,5,n/a,www.restockit.com,"""Emerald Cocoa Roasted Almonds"" 6/Carton - DFD86364 ReStockIt "" "" Emerald Almonds 5 oz Pack","""A natural source of protein, vitamins and minerals that give you a boost of energy. Perfect size to take with you on the go. Food Type: Nuts; Flavor: Cocoa Roasted Almonds; Capacity (Weight): 5 oz; Packing Type: Bag. UPC: 010300863649
""@en "
17118253,Grocery And Gourmet Food,13611606,n/a,Coffee Machines,44000015923,n/a,n/a,Mr. Coffee,n/a,SJX33GT,www.coffeeoutletdirect.com,"""Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT"" ""Coffee Machines | Outlet Direct""","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy."" "
4240788,Grocery And Gourmet Food,13611606,n/a,Coffee and Tea,44000015923,n/a,12.0,Mr. Coffee,n/a,BVMC-SJX33GT,www.coffeeoutletdirect.com,"""Mr. Coffee BVMC-SJX33GT 12-Cup Programmable Coffeemaker and Mr. GTF2-1 Basket-Style Gold Tone Permanent Filter Bundle"" ""Coffee Makers - Page 381 | Outlet Direct""","""Null"" "
16023508,Grocery And Gourmet Food,13611606,n/a,Coffee and Tea,44000015923,n/a,n/a,Mr. Coffee,n/a,SJX33GT,www.coffeeoutletdirect.com,""" Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT ""Mr. Filtration | Outlet Direct""","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy. "" "
1367875,Grocery And Gourmet Food,13611606,n/a,n/a,44000015923,n/a,n/a,Mr. Coffee,n/a,n/a,greatcoffeebrewers.com,"""Mr. Coffee 12-Cup Programmable Coffeemaker""",
4919222,Grocery And Gourmet Food,13611606,n/a,Small Appliance,44000015923,n/a,n/a,Mr. Coffee,n/a,SJX33GT,www.smallappliancedirect.com,""" Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT | Small Appliance Direct"" ""Mr. Filtration","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy. "" "
2877541,Grocery And Gourmet Food,13611606,n/a,Coffee and Tea,44000015923,n/a,n/a,Mr. Coffee,n/a,SJX33GT,www.smallappliancedirect.com,"""Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT"" Tea & Espresso Appliances | Small Appliance Direct"" ""Coffee","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy."" "
12819158,Grocery And Gourmet Food,13611606,n/a,Coffee Machines,44000015923,n/a,n/a,Mr. Coffee,n/a,SJX33GT,www.smallappliancedirect.com,"""Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT"" ""Coffee Machines | Small Appliance Direct""","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy."" "
3375230,Grocery And Gourmet Food,13611606,n/a,n/a,44000015923,n/a,n/a,Mr. Coffee,n/a,BVMC-SJX33GT,getacoffeemaker.com,"""Mr. Coffee BVMC-SJX33GT Review: Does the Programming Really Work?""-US",
16849590,Grocery And Gourmet Food,13611606,n/a,Coffee and Tea,44000015923,n/a,n/a,Mr. Coffee,n/a,BVMC-SJX33GT,www.coffeeoutletdirect.com,"""Mr. Coffee BVMC-SJX33GT 12-Cup Programmable Coffeemaker (Certified Refurbished)"" ""Coffee Makers - Page 221 | Outlet Direct""","""The Mr. Coffee BVMC-SJX33GT Programmable 12-Cup Coffee Maker features a modern design to enrich the style of your kitchen. The Mr. Coffee Programmable Coffee Maker includes various features such as on/off indicator light, removable filter basket and a brewing pause 'n serve setting. The coffee maker also features a water window to show the amount of water in the reservoir, a cord storage to prevent clutter and a brew strength selector to personalize your coffee. Finally, the BVMC-SJX33GT is compatible with a glass or thermal carafe. The thermal carafe will keep your coffee hot for hours and is great for entertaining! This coffeemaker is designed to work with the Mr. Coffee Thermal Stainless Steel Decanter DRD95 (must be purchased separately). PRODUCT FEATTURES... Recognized by a leading consumer magazine as one of the best coffeemakers for the 3rd consecutive year (2011, 2012, 2013). The Water Filtration system helps remove up to 97% of the chlorine from the water and improves the taste of your coffee as a result of the Mr. Coffee water filter and brewing process. You will enjoy the brewing pause 'n serve that lets you pour a cup of coffee while the coffeemaker is still brewing. And, the self cleaning cycle makes cleaning your coffeemaker quick and easy. You will also be able to relax knowing that the 2-Hour auto shut-off keeps your coffee hot for 2-hour, then automatically shuts off."" "
11042445,Grocery And Gourmet Food,15570792,n/a,n/a,44000015923,n/a,n/a,Tiesta,16 oz,TIE69913,www.ontimesupplies.com,"""Tea Brewmaster, Plastic, 16 oz"" Brewmaster by Tiesta TIE69913 - OnTimeSupplies.com""","""Convenient Brewmaster is steeping made easy, allowing easy access to delicious loose leaf tea. Made from a durable medical grade plastic. It is BPA free, microwave- and dishwasher-safe. Its innovative design allows for an easy three-step process for safe and speedy brewing. Simply scoop, steep and enjoy! 
"" "
2161230,Grocery And Gourmet Food,15570792,n/a,n/a,44000015923,n/a,n/a,Tiesta Tea,16 oz,TIE69913,www.restockit.com,"""Tiesta Tea Brewmaster"" Plastic "" Tiesta Brewmaster 16 oz - TIE69913 ReStockIt ""","""Convenient Brewmaster is steeping made easy, allowing easy access to delicious loose leaf tea. Made from a durable medical grade plastic. It is BPA free, microwave- and dishwasher-safe. Its innovative design allows for an easy three-step process for safe and speedy brewing. Simply scoop, steep and enjoy! Warmer: No; Capacity (Volume): 16 oz; Width: 2""; Depth: 4 3/4"". UPC: 799632669913
""@en "
3254941,Grocery And Gourmet Food,15581626,Organic Spring Jasmine,n/a,44000015923,Filterbag,15.0,Mighty Leaf Tea,n/a,MLC40016,www.restockit.com,"""Mighty Leaf Tea Whole Pouches"" Organic Spring Jasmine "" Mighty Pouches 15/Box - MLC40016 ReStockIt ""","""Elevate your tea experience with Mighty Leaf Tea's whole leaf, loose leaf tea pouches. Blends are made from a pure state, using only the top leaves and buds from the tea plant. All teas and ingredients come from artisan tea gardens on every continent. The award winning commercially compostable tea pouches allow leaves to unfurl properly and offer a bold, rich and fragrant cup, beyond a tea drinker's expectations. Beverage Type: Tea; Flavor: Organic Spring Jasmine; Packing Type: Filterbag; Capacity (Weight): 1.32 oz. Compostable in commercial compost.CUBE: 1.00UPC: 656252400169
""@en "
