Extracted Attribute,Best Match,Similarity,Category
Door Mechanism,,0.2857142857142857,home
Door Type,,0.33333333333333337,home
Door Type (Non-Refrigerated Top),,0.1875,home
Dovetail Quantity,,0.2941176470588235,home
Drain Feature,,0.3846153846153846,home
Drain Opening,,0.3846153846153846,home
Drain Opening Size,,0.2777777777777778,home
Drain Plate for Urn Trough,,0.1923076923076923,home
Drain Size,,0.23076923076923073,home
Drawer Count,,0.25,home
Drawer Features,,0.33333333333333337,home
Drawer Material,,0.4666666666666667,home
Durability Features,,0.26315789473684215,home
Duty Classification,,0.4736842105263158,home
Duty Type,,0.33333333333333337,home
Edge Protection,,0.33333333333333337,home
Edge Type,,0.33333333333333337,home
Edge Type (Front),,0.23529411764705888,home
Efficacy,,0.3076923076923077,home
Efficacy Against,,0.1875,home
Efficiency Features,,0.2727272727272727,home
Electrical Certification,,0.5416666666666667,home
Electrical Requirements,,0.26086956521739135,home
Electrical Specifications,,0.43999999999999995,home
Electrical Specs,,0.25,home
Energy Efficiency,,0.2941176470588235,home
Energy Efficiency Feature,,0.28,home
Energy Type,,0.2727272727272727,home
Export Status,,0.23076923076923073,home
Extenders Included,,0.2272727272727273,home
Exterior Color (Refrigerated Bottom),,0.19444444444444442,home
Exterior Finish,,0.2666666666666667,home
Exterior Material,,0.4117647058823529,home
Exterior Trim Color,,0.26315789473684215,home
Fat Capacity,,0.5833333333333333,home
Faucet Center-to-Center,,0.28,home
Faucet Center-to-Center Spacing,,0.29032258064516125,home
Feature,,0.4285714285714286,home
Features,,0.41666666666666663,home
Feet Type,,0.33333333333333337,home
Feet_Type,,0.41666666666666663,home
Finish,,0.33333333333333337,home
Floor Material,,0.5,home
Flow Direction,,0.3571428571428571,home
Flue Riser,,0.25,home
Flue Riser Details,,0.2777777777777778,home
Flue Riser Dimensions,,0.2857142857142857,home
Flue Riser Features,,0.2272727272727273,home
Flue Riser Height,,0.2941176470588235,home
Flue Riser Size,,0.2666666666666667,home
Foot Caps,,0.33333333333333337,home
Foot Material,,0.5384615384615384,home
Foot Type,,0.41666666666666663,home
Form Factor,,0.3076923076923077,home
Format,,0.375,home
Formula Type,,0.33333333333333337,home
Frame/Legs Material,,0.42105263157894735,home
Freezer Features,,0.25,home
Frequency,,0.25,home
Front & Side Rim Style,,0.2727272727272727,home
Front & Side Rim Type,,0.2857142857142857,home
Front Manifold Size,,0.26315789473684215,home
Front Material,,0.5,home
Front and Sides Material,,0.29166666666666663,home
Front and Top Material,,0.31818181818181823,home
Front-to-Back,,0.23076923076923073,home
Fuel Type,,0.33333333333333337,home
Gas Connection Location,,0.3913043478260869,home
Gas Connections,,0.33333333333333337,home
Gas Tank Capacity,,0.4117647058823529,home
Gas Type Requirement,,0.25,home
Gauge,gauge,0.8,home
Gauge (Top),,0.36363636363636365,home
Gauge - Legs,,0.33333333333333337,home
Gauge - Top,,0.36363636363636365,home
Gauge of Top,,0.33333333333333337,home
Gauge_Top,,0.4444444444444444,home
Glass Features (Refrigerated Bottom),,0.19444444444444442,home
Grade,,0.4,home
Grate Material,,0.5,home
Grate Removability,,0.2777777777777778,home
Grate Type,,0.33333333333333337,home
Grease Trough Size,,0.2222222222222222,home
Grid Height Adjustment,,0.2272727272727273,home
Griddle,,0.2857142857142857,home
Griddle Area Dimensions,,0.26086956521739135,home
Griddle Location,,0.375,home
Griddle Material,,0.4375,home
Griddle Plate Material,,0.31818181818181823,home
Griddle Presence,,0.2727272727272727,home
Griddle Size,,0.25,home
Griddle Thickness,,0.23529411764705888,home
Griddle Width,,0.3076923076923077,home
Handle,,0.33333333333333337,home
Handle Type,,0.33333333333333337,home
Heating Elements,,0.25,home
Heating Elements Power,,0.2727272727272727,home
Height,height,0.8333333333333334,home
Height (Inside Rack),,0.25,home
Height (Inside Stack),,0.23809523809523814,home
Height (Outside),,0.3125,home
Height (Overall),,0.3125,home
Height (inches),,0.33333333333333337,home
Heritage/Established,,0.30000000000000004,home
Hot Top,,0.2857142857142857,home
Hot Top Size,,0.25,home
Ice Bin Depth,,0.3076923076923077,home
Ice Bin Dimensions (L x W),,0.2692307692307693,home
Ice Production (approximate),,0.2857142857142857,home
Ice Production Capacity,,0.34782608695652173,home
Ice Storage Capacity,,0.4,home
Ice Style,,0.25,home
Ice Type,,0.33333333333333337,home
Ignition System,,0.19999999999999996,home
Ignition Type,,0.23076923076923073,home
Ignition Type (Ovens),,0.19047619047619047,home
Included Accessories,,0.31818181818181823,home
Included Components,,0.24,home
Included Features,,0.2941176470588235,home
Included Items,,0.24,home
Includes,,0.375,home
Installation Type,,0.2941176470588235,home
Insulation,,0.3846153846153846,home
Intended Use,,0.25,home
Interior Construction,,0.2857142857142857,home
Interior Features,,0.2941176470588235,home
Interior Lighting,,0.2941176470588235,home
Interior Material,,0.4117647058823529,home
Keg Capacity,,0.5833333333333333,home
Kettle Material,,0.4666666666666667,home
Latch Material,,0.5,home
Latex Content,,0.2857142857142857,home
Lead Time,,0.33333333333333337,home
Lead Time Before Shipping,,0.28,home
Leg Adjustability,,0.23529411764705888,home
Leg Configuration,,0.47058823529411764,home
Leg Construction,,0.3125,home
Leg Features,,0.33333333333333337,home
Leg Height,,0.5,home
Leg Material,,0.5833333333333333,home
Leg Type,,0.25,home
Legs,,0.33333333333333337,home
Legs Material,,0.5384615384615384,home
Legs/Feet Material,,0.38888888888888884,home
Legs_Material,,0.5384615384615384,home
Length,length,0.8333333333333334,home
Length (Nominal),,0.3125,home
Length (inches),,0.33333333333333337,home
Lid Material,,0.5833333333333333,home
Lid Material Characteristics,,0.25,home
Lighting,,0.375,home
Lighting Features,,0.2941176470588235,home
Load Type,,0.33333333333333337,home
Location,,0.46153846153846156,home
Lock Mechanism,,0.2142857142857143,home
MPN / Model #,,0.15384615384615385,home
Manufacturer,manufacturer,0.9166666666666666,home
Manufacturer Part Number,,0.64,home
Material,material,0.875,home
Material (Front),,0.4375,home
"Material (Front, Sides, Shelf)",,0.23333333333333328,home
Material (Top),,0.5,home
"Material (Top, Front, Sides, Legs)",,0.20588235294117652,home
Material - Legs,,0.4666666666666667,home
Material - Top,,0.5,home
Material Construction,,0.33333333333333337,home
Material Features,,0.4117647058823529,home
Material Feel,,0.5384615384615384,home
Material Gauge,,0.5,home
Material Series,,0.4666666666666667,home
Material Type,,0.5384615384615384,home
Material of Top,,0.4666666666666667,home
Material_Legs,,0.5384615384615384,home
Material_Top,,0.5833333333333333,home
Max Diameter,,0.5833333333333333,home
Max Diameter per Compartment,,0.25,home
Max Height,,0.5,home
Max Height per Compartment,,0.23076923076923073,home
Maximum Diameter,,0.4375,home
Maximum Diameter per Compartment,,0.25,home
Maximum Glass Height,,0.25,home
Maximum Height,,0.3571428571428571,home
Maximum Height per Compartment,,0.19999999999999996,home
Maximum Stemware/Tumbler Diameter,,0.24242424242424243,home
Maximum Stemware/Tumbler Height,,0.19354838709677424,home
Mechanism,,0.2666666666666667,home
Midshelf Depth,,0.3571428571428571,home
Mobility,,0.375,home
Mobility Feature,,0.3125,home
Mobility Features,,0.2941176470588235,home
Model,,0.2857142857142857,home
Model Number,,0.25,home
Model Type,,0.41666666666666663,home
Model Variant,,0.3076923076923077,home
Model/Collection,,0.3125,home
Model/Part Number,,0.2941176470588235,home
Motor Characteristic,,0.25,home
Motor Power,,0.2727272727272727,home
Motor Power (Fan),,0.23529411764705888,home
Mount Type,,0.5,home
Mounting Type,,0.3076923076923077,home
NSF Approved,,0.16666666666666663,home
Noise Characteristic,,0.25,home
Noise Level,,0.2727272727272727,home
Not Suitable For,,0.3125,home
Notable Features,,0.31818181818181823,home
Number of Baskets,,0.23529411764705888,home
Number of Burners,,0.2941176470588235,home
Number of Burners/Hot Tops,,0.1923076923076923,home
Number of Casters,,0.2941176470588235,home
Number of Compartments,,0.2727272727272727,home
Number of Doors,,0.19999999999999996,home
Number of Drawers,,0.23529411764705888,home
Number of Extenders,,0.26315789473684215,home
Number of Levels/Tiers,,0.2272727272727273,home
Number of Oven Racks,,0.19999999999999996,home
Number of Ovens,,0.2666666666666667,home
Number of Pan Wells,,0.21052631578947367,home
Number of Plies,,0.2666666666666667,home
Number of Racks,,0.19999999999999996,home
Number of Sections,,0.38888888888888884,home
Number of Shelves,,0.3529411764705882,home
Number of Support Bars,,0.18181818181818177,home
Number of Tiers,,0.19999999999999996,home
Number of Wash Cycles,,0.19047619047619047,home
Number of Wells,,0.19999999999999996,home
Operating Temperature,,0.2857142857142857,home
Operation Type,,0.3571428571428571,home
Outdoor Use,,0.2727272727272727,home
Outer Dimensions,,0.3125,home
Outer Trim Size,,0.2666666666666667,home
Oven,,0.2857142857142857,home
Oven Base,,0.33333333333333337,home
Oven Configuration,,0.4444444444444444,home
Oven Control,,0.25,home
Oven Controls,,0.23076923076923073,home
Oven Count,,0.19999999999999996,home
Oven Details,,0.2857142857142857,home
Oven Dimensions (WxD),,0.19047619047619047,home
Oven Features,,0.3846153846153846,home
Oven Interior,,0.3076923076923077,home
Oven Interior Material,,0.31818181818181823,home
Oven Rack Count,,0.19999999999999996,home
Oven Rack Included,,0.2777777777777778,home
Ovens,,0.2857142857142857,home
Overall Dimensions,,0.33333333333333337,home
Overall Height,,0.3571428571428571,home
Overall Length with Handle,,0.23076923076923073,home
Packaging,,0.4444444444444444,home
Packing Type,,0.25,home
Pan/Tray Size Compatibility,,0.2222222222222222,home
Phase,,0.6,home
Phases,,0.5,home
Pilot Type,,0.33333333333333337,home
Pilot Type (Burners),,0.19999999999999996,home
Place Setting Capacity,,0.36363636363636365,home
Plug Type,,0.33333333333333337,home
Ply,,0.19999999999999996,home
Post Features,,0.3076923076923077,home
Post Material,,0.5384615384615384,home
Power,,0.4,home
Power (Watts),,0.3076923076923077,home
Power Consumption,,0.3529411764705882,home
Power Levels,,0.33333333333333337,home
Power Rating,,0.3571428571428571,home
Power Settings,,0.4285714285714286,home
Power Source,,0.41666666666666663,home
Power Type,,0.33333333333333337,home
Preheat Time,,0.33333333333333337,home
Product Category,,0.4375,home
Product Code,,0.5833333333333333,home
Product Line,,0.5833333333333333,home
Product Type,,0.75,home
Product_Code,,0.6666666666666667,home
Quality,,0.5,home
Quantity,,0.375,home
Quantity Per Carton,,0.26315789473684215,home
Quantity in Set,,0.24,home
Quantity per Box,,0.25,home
Quantity per Carton,,0.26315789473684215,home
Quantity per Container,,0.31818181818181823,home
Quantity per Package,,0.25,home
Rack Configuration,,0.4444444444444444,home
Rack Material,,0.5384615384615384,home
Rack Position Options,,0.33333333333333337,home
Recommended Use,,0.19999999999999996,home
Refrigerant,,0.36363636363636365,home
Refrigerant Type,,0.375,home
Refrigeration Power,,0.368421052631579,home
Refrigeration Power (HP),,0.29166666666666663,home
Refrigeration System,,0.35,home
Refrigeration System Location,,0.3448275862068966,home
Refrigeration System Power,,0.2692307692307693,home
Refrigeration System Power (HP),,0.22580645161290325,home
Refrigeration Type,,0.38888888888888884,home
Region/Country Variant,,0.2272727272727273,home
Regulator Included,,0.28,home
Reinforcement,,0.23076923076923073,home
Required Specification for Slide Bar Functionality,,0.21999999999999997,home
Reviewed By,,0.18181818181818177,home
Riser Height,,0.41666666666666663,home
Rock Holder Material,,0.35,home
Roll Diameter (Nominal),,0.30434782608695654,home
Roll Size,,0.33333333333333337,home
Rubber Pad Thickness,,0.19999999999999996,home
Safety Features,,0.4666666666666667,home
Safety and Sanitation Approvals,,0.29032258064516125,home
Scent,,0.4,home
Seal Type,,0.33333333333333337,home
Sections,,0.3846153846153846,home
Seller/Location,,0.4666666666666667,home
Seller/Warehouse,,0.2272727272727273,home
Series,,0.4285714285714286,home
Shape,shape,0.8,home
Shelf,,0.4285714285714286,home
Shelf Adjustability,,0.21052631578947367,home
Shelf Configuration,,0.42105263157894735,home
Shelf Count,,0.2727272727272727,home
Shelf Features,,0.3571428571428571,home
Shelf Material,,0.5,home
Shelf Material (Non-Refrigerated Section),,0.24390243902439024,home
Shelf Material (Refrigerated Section),,0.2702702702702703,home
Shelf Size,,0.30000000000000004,home
Shelf Type,,0.30000000000000004,home
Shelving,,0.5,home
Shelving (Non-Refrigerated Top),,0.22580645161290325,home
Shelving (Refrigerated Bottom),,0.23333333333333328,home
Shipping Method,,0.4666666666666667,home
Shipping Restriction,,0.35,home
Shipping Weight,,0.4666666666666667,home
Side Color,,0.4,home
Side Material,,0.5384615384615384,home
Side Style,,0.33333333333333337,home
Sides Material,,0.5,home
Sink Dimensions,,0.2666666666666667,home
Sink Location,,0.46153846153846156,home
Size,,0.25,home
Size (Height),,0.3846153846153846,home
Size (Length x Width x Height),,0.19999999999999996,home
Size (Length x Width),,0.23809523809523814,home
Size (Length),,0.3846153846153846,home
Size (Overall),,0.2142857142857143,home
Size (oz),,0.1333333333333333,home
Size (per wipe),,0.19999999999999996,home
Slice Thickness,,0.19999999999999996,home
Slide Configuration,,0.42105263157894735,home
Special Assembly Note,,0.23809523809523814,home
Special Cycle,,0.3076923076923077,home
Special Feature,,0.33333333333333337,home
Special Features,,0.3125,home
Special Protection,,0.2777777777777778,home
Spigot Type,,0.33333333333333337,home
Splash Guard,,0.41666666666666663,home
Splash_Guard,,0.41666666666666663,home
Stackable,stackable,0.8888888888888888,home
Stacking Feature,,0.375,home
Stainless Steel Gauge,,0.5909090909090908,home
Stainless Steel Series,,0.7727272727272727,home
Stainless Steel Type,,0.5909090909090908,home
Standards Compliance,,0.25,home
Stem Type,,0.25,home
Storage Capacity,,0.4375,home
Storage Features,,0.375,home
Sub Top Material,,0.4375,home
Suitable Applications,,0.38095238095238093,home
Suitable For,,0.33333333333333337,home
Suitable Surfaces,,0.2941176470588235,home
Suitable for,,0.33333333333333337,home
Supplier,,0.25,home
Surface Compatibility,,0.2857142857142857,home
Surface Type,,0.33333333333333337,home
Table Edge,,0.4,home
Table Shape,,0.36363636363636365,home
Table Top Edge Feature,,0.2272727272727273,home
Table Top Length,,0.375,home
Table Top Material,,0.38888888888888884,home
Table Top Width Range,,0.2857142857142857,home
Table_Feature,,0.31818181818181823,home
Tank Holder Capacity,,0.35,home
Tank Purchase,,0.3076923076923077,home
Temperature Control,,0.26315789473684215,home
Temperature Control Type,,0.29166666666666663,home
Temperature Range,,0.2941176470588235,home
Thermostat,,0.4,home
Thermostat Adjustability,,0.25,home
Thermostat Adjustment Range,,0.2592592592592593,home
Thermostat Range,,0.3125,home
Thermostat Type,,0.4,home
Thickness,,0.33333333333333337,home
Thickness (Mil),,0.19999999999999996,home
Threaded Stem Size,,0.2222222222222222,home
Top Dimensions,,0.2857142857142857,home
Top Features,,0.33333333333333337,home
Top Gauge,,0.4444444444444444,home
Top Length,,0.5,home
Top Material,,0.5833333333333333,home
Top Material/Feature,,0.35,home
Top Thickness (Gauge),,0.19047619047619047,home
Top Thickness (Riser),,0.19047619047619047,home
Top Width,,0.4444444444444444,home
Top Width Range,,0.33333333333333337,home
Total BTU,,0.30000000000000004,home
Total Capacity,,0.5,home
Traverse Quantity,,0.3529411764705882,home
Traverse Type,,0.3076923076923077,home
Tub Material,,0.5833333333333333,home
Tube Dimensions,,0.2666666666666667,home
Tube Spacing,,0.33333333333333337,home
Type,,0.4,home
UPC,,0.30000000000000004,home
UPC / EAN,,0.0,home
Undershelf Adjustability,,0.20833333333333337,home
Undershelf Material,,0.368421052631579,home
Urns Trough Dimensions,,0.31818181818181823,home
Usage,,0.4285714285714286,home
Usage Type,,0.30000000000000004,home
Valve Control,,0.2666666666666667,home
Vat Capacity (lbs),,0.38888888888888884,home
Voltage,voltage,0.8571428571428572,home
Voltage/Frequency/Phase,,0.26086956521739135,home
Wall & Ceiling Material,,0.30434782608695654,home
Warranty,warranty,0.875,home
Water Usage,,0.4545454545454546,home
Weight (Crated),,0.33333333333333337,home
Weight Capacity,,0.4666666666666667,home
Weight Capacity per Shelf,,0.28,home
Wheel Dimensions,,0.3125,home
Wheel Features,,0.3571428571428571,home
Wheel Material,,0.5,home
Wheel Material Features,,0.30434782608695654,home
Width,width,0.8,home
Width (Specific),,0.25,home
Width (inches),,0.2857142857142857,home
Width Range,,0.36363636363636365,home
Accent Diamonds,,0.2666666666666667,jewelry
Accompanying Stones,,0.26315789473684215,jewelry
Authentication,,0.4375,jewelry
Authenticity,,0.33333333333333337,jewelry
Authorization,,0.5384615384615384,jewelry
Authorized Dealer,,0.5294117647058824,jewelry
Authorized Retailer,,0.4736842105263158,jewelry
Available Metals,,0.25,jewelry
Band Features,,0.3076923076923077,jewelry
Band Setting,,0.5,jewelry
Band Style,,0.5,jewelry
Band Style Code,,0.33333333333333337,jewelry
Band Type,,0.36363636363636365,jewelry
Band Width,,0.4,jewelry
Band Width (Implicit),,0.19047619047619047,jewelry
Band Width/Style,,0.3125,jewelry
Brand,brand,0.8,jewelry
Center Stone Shape,,0.4444444444444444,jewelry
Collection,collection,0.9,jewelry
Collection (if applicable),,0.34615384615384615,jewelry
