collection,product_location,source_region,width,ct,authorized,contact_service,ring_style,title,description
Titanium,,,,,,,Modern,"""Benchmark Titanium Wedding Band TICF68100BKT"" TICF68900CFBKT band | Dejaun Jewelers""","""<p>Before the wedding bells ring, ring our doors and get this stunning wedding band from Benchmark. This Modern wedding band style adorns you with just the right splendor and spectacle at the same time. </p>"" "
Titanium,"Hamden, CT",,,,authorized,"Available (implied by ""we are here to assist you in your search along every step of the way"")",,"""Benchmark Titanium TICF68100BKT"" ""Shop Benchmark TI561T Wedding bands | RUMANOFF'S FINE JEWELRY & DESIGN""","""<p> The vows you take upon your wedding day, should be honored by a wedding band worthy of those sentiments. Model number TICF68100BKT is a elegant Modern wedding band from Benchmark. A part of the Titanium collection, this idealistic Gents wedding band was created with Titanium. Take your vows with this beauteous wedding band. </p>
<p>Searching for the perfect wedding band? Since 1938, Rumanoff’s Fine Jewelry & Design of Hamden, CT, has been helping their local community commemorate any event. A family run business spanning four generations, we are here to assist you in your search along every step of the way and are proud to provide a vast selection to appease all your fine jewelry and watch needs. Thus, we present this elegant wedding band as an authorized retailer of Benchmark. </p>"" "
,,,,,,,,"""Benchmark Titanium Wedding band TICF68100BKT"" TICF68100BKT | Dejaun Jewelers""","""Null"" "
Titanium,,,,,,,,"""Benchmark Titanium TICF68100BKT""","""
                                A simple ring like a wedding band means everything. This Modern wedding band can remind you of your loved one wherever you are. For the soul mates out there, we bring you this timeless Benchmark masterpiece. The without stone adds a touch of refinement to the entire band. Its titanium construction glistens for as long as your passion. Gents everywhere will know that a ring like this means more than words.
 
The Wedding Ring Shop brings you this and more exceptional creations so you can have the perfect wedding day. Started by a 3rd generation Kamaaina Family in 1987, The Wedding Ring Shop helps the community remember life's special moments.                                "" "
Titanium,,,,,authorized,,Gents Benchmark wedding ring,"""Benchmark Titanium Wedding Band TICF68100BKT"" ""Shop Benchmark TIRECF87500BKT bands | Medawar Jewelers""","""<p> Your wedding ring will remain a perpetual sign of your your marriage vows, so you’ll want it to stand the test of time. We, at Medawar Jewelers, are happy to be an authorized Benchmark retailer. This illuminating Gents Benchmark wedding ring is incredible. It is fashioned of Titanium and comes from the popular Titanium collection. This ring is the perfect ring to represent your commitement.</p>"" "
Titanium,,,,,,,,"""Benchmark Titanium Wedding Band TICF68100BKT"" TI570T band | Dejaun Jewelers""","""<p>Before the wedding bells ring, ring our doors and get this stunning wedding band from Benchmark. This Modern wedding band style adorns you with just the right splendor and spectacle at the same time. </p>"" "
Titanium,,,,,authorized,,Gents Benchmark wedding ring,"""Benchmark Titanium Wedding Band TICF68100BKT"" ""Shop Benchmark TICF68900CFBKT bands | Medawar Jewelers""","""<p> Your wedding ring will remain a perpetual sign of your your marriage vows, so you’ll want it to stand the test of time. We, at Medawar Jewelers, are happy to be an authorized Benchmark retailer. This illuminating Gents Benchmark wedding ring is incredible. It is fashioned of Titanium and comes from the popular Titanium collection. This ring is the perfect ring to represent your commitement.</p>"" "
Titanium,"Houston, TX",,,,authorized,"Available (implied by ""our professional jewelers will dedicate their knowledge to serve you"")",Gents wedding band,"""Benchmark Titanium TICF68100BKT""","""
 Benchmark is happy to offer this Gents wedding band with model number TICF68100BKT. Showcasing a true affection and commitment, this stunning wedding band is constructed from Titanium. Without a doubt this ring is the perfect piece as you commemorate your big day. 
 Dubin’s Fine Jewelry is an authorized and trusted dealer of Benchmark. We carry the greatest selection of Benchmark jewelry products. See this item for yourself by visiting our store in Houston, TX. Rest assured, our professional jewelers will dedicate their knowledge to serve you in choosing the perfect jewelry you desire.                                 "" "
Titanium,,,,,,,,"""Benchmark Titanium TICF68100BKT"" ""Shop Benchmark TICF68100BKT Wedding bands | RUMANOFF'S FINE JEWELRY & DESIGN""","""Null"" "
,,,,,,,,"""Benchmark Titanium TICF68100BKT"" TICF68900CFBKT""",
,,,,,,,,"""Benchmark Titanium Wedding Band TICF68100BKT"" TICF69100BKT band | Dejaun Jewelers""","""<p>Before the wedding bells ring, ring our doors and get this stunning wedding band from Benchmark. This Modern wedding band style adorns you with just the right splendor and spectacle at the same time. </p>"" "
,,,,,,,,"""Benchmark Titanium Wedding Band TICF68100BKT"" TICF69486BKT band | Dejaun Jewelers""","""<p>Before the wedding bells ring, ring our doors and get this stunning wedding band from Benchmark. This Modern wedding band style adorns you with just the right splendor and spectacle at the same time. </p>"" "
,,,,,,,,"""Benchmark Titanium Wedding Band TICF68100BKT"" TI560T band | Dejaun Jewelers""","""<p>Before the wedding bells ring, ring our doors and get this stunning wedding band from Benchmark. This Modern wedding band style adorns you with just the right splendor and spectacle at the same time. </p>"" "
,,,,,,,,"""Benchmark Titanium TICF68100BKT"" Contemporary Metals TIRECF87500BKT""",
ArtCarved Vintage,,,,,,,,"""ArtCarved Vintage 31-V692W-L"" ""Shop ArtCarved 31-V692W-L Wedding bands | Carter's Diamonds and Fine Jewelers""","""
Hand Engraved and Milgrain with Surprise Stones Wedding Band to Match 31-V692                                "" "
ArtCarved Vintage,,,,,,,,"""ArtCarved Vintage 31-V692W-L"" 31-V692W-L Wedding bands | Milanj Diamonds""","""
                            Hand Engraved and Milgrain with Surprise Stones Wedding Band to Match 31-V692                        "" "
Standard Comfort-Fit,"Reston, VA",,,,authorized,,Gents,"""Benchmark Standard Comfort-Fit Wedding band LCF15018KW"" ""Shop Benchmark LCF15018KW bands | Midtown Jewelers""","""
                            If you are searching for a contemporary wedding band to represent your unending commitment, you can be sure that you’ll find it here at Midtown Jewelers in Reston, VA. We stock only top brands in the industry. Your wedding band will be worn and loved for a lifetime, which is why we are privileged to be an authorized Benchmark retailer. Benchmark offers the top-notch in luxury and quality. Through our exceptional partnership we are able to offer you this detailed Gents Benchmark wedding band. This ring is spectacular and crafted of smooth 18k white gold. This wedding band comes from the ever popular Standard Comfort-Fit collection. At Midtown Jewelers we enjoy helping couples say “I do”.                         "" "
Standard Comfort-Fit,,,,,,,,"""Benchmark Standard Comfort-Fit LCF15018KW"" ""Shop Benchmark LCF15018KW Wedding bands | RUMANOFF'S FINE JEWELRY & DESIGN""","""Null"" "
Classic,,,,,,,,"""Benchmark Classic Bands LCF15018KW""",
Standard Comfort-Fit ,,,,,,,Gents ,"""Benchmark Standard Comfort-Fit LCF15018KW""","""
                                An understated ring like a wedding band represents commitment. This Modern wedding band can remind you of your loved one wherever you are. For all of you love birds, we bring you this original Benchmark masterpiece. The without stone adds a touch of refinement to the entire band. Its 18k white gold construction sparkles for as long as your love stays strong. Gents everywhere will recognize that a ring like this means everything.
 
The Wedding Ring Shop brings you this and more exquisite creations so you can have the perfect wedding day. Established by a 3rd generation Kamaaina Family in 1987, The Wedding Ring Shop helps the community honor life's special moments.                                "" "
Classic,,,,,,,,"""Benchmark Classic Bands LCF15018KW"" Standard Comfort-Fit",
Standard Comfort-Fit,,,,,,,,"""Benchmark Standard Comfort-Fit LCF15018KW"" ""Shop Benchmark LCF15018KW Wedding bands | Ream""",
,,,,,,,,"""Benchmark Design CF6642018KW""","""
                                A subtle ring like a wedding band means everything. This Modern wedding band can be your priceless investment. For all of you love birds, we bring you this timeless Benchmark masterpiece. The without stone adds a layer of refinement to the overall design. Its 18k white gold construction glistens for as long as your passion. Gents everywhere will recognize that a ring like this means more than words can say.
 
The Wedding Ring Shop brings you this and more exquisite creations so you can have the perfect wedding day. Started by a 3rd generation Kamaaina Family in 1987, The Wedding Ring Shop helps the community commemorate life's greatest moments.                                "" "
captivating Design,"Reston, VA",,,,authorized,,,"""Benchmark Design Wedding band CF6642018KW"" ""Shop Benchmark CF6642018KW bands | Midtown Jewelers""","""
                            If you are looking for an enduring wedding band to represent your unending commitment, you can rest assured that you’ll find it here at Midtown Jewelers in Reston, VA. We stock only the finest brands in the industry. Your wedding band will be worn and adored for your lifetime and beyond, which is why we are thrilled to be an authorized Benchmark retailer. Benchmark offers the top-notch in luxury and quality. Through our exceptional partnership we are able to offer you this enduring Gents Benchmark wedding band. This ring is incredible and crafted of smooth 18k white gold. This wedding band comes from the captivating Design collection. At Midtown Jewelers we love helping couples say “I do”.                         "" "
,,,,,,,CrownRing,"""CrownRing Rope Wedding band WB-005R6W"" ""Shop CrownRing WB-005R6W | Moyer Fine Jewelers""","""Null"" "
captivating Design,"Reston, VA",,,,authorized,,Gents,"""CrownRing Rope Wedding Band WB-005R6W"" ""Shop CrownRing WB-012R25W band | Moyer Fine Jewelers""","""<p>Just as a vow of eternal love and commitment is exchanged during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing commits to. This 14k white gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 6.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,,,6.00 mm,,authorized,Available,,"""CrownRing Rope Wedding Band WB-005R6W"" ""Shop CrownRing WB-006R8W band | Moyer Fine Jewelers""","""<p>Just as a vow of eternal love and commitment is exchanged during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing commits to. This 14k white gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 6.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,,,6.00 mm,,authorized,Available,,"""CrownRing Rope Wedding Band WB-005R6W"" ""Shop CrownRing WB-014RD8RW band | Moyer Fine Jewelers""","""<p>Just as a vow of eternal love and commitment is exchanged during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing commits to. This 14k white gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 6.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,,,,,,,,"""CrownRing Rope WB-005R6W""","""
                                An understated ring like a wedding band represents commitment. This Modern wedding band can remind you of your loved one wherever you are. For the soul mates out there, we bring you this artfully crafted CrownRing classic. Its 14k white gold construction glistens for as long as your love stays strong. Gents everywhere will know that a ring like this means the world. This band is available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950.
 
The Wedding Ring Shop brings you this and more exquisite creations so you can have the perfect wedding day. Established by a 3rd generation Kamaaina Family in 1987, The Wedding Ring Shop helps the community commemorate life's greatest moments.                                "" "
,,,,,authorized,,engagement ring,"""CrownRing Rope WB-005R6W"" ""Shop CrownRing WB-005R6W Wedding bands | Koehn & Koehn""","""
                                 Emortalize every vow you take with your spouse with the superior craftsmanship of this  Modern wedding band. A Gents wedding band from Rope collection by the prestigious CrownRing, model number WB-005R6W is the perfect ring to symbolize your love. Crafted with 14k white gold, it is an elegant piece with classic lines. An elegant wedding band, it is crafted to honor your vows. 
 You may choose this ring in the following metal types: Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. 
 Seeking the perfect engagement ring? Koehn & Koehn Jewelers of West Bend, WI, boasts a vast selection of fine jewelry from today’s most prestigious luxury brands. Dedicated to providing the best customer service possible and are here to assist you in your search. Thus, we are proud to present this remarkable engagement ring as an authorized retailer of CrownRing.                                 "" "
,,,,,authorized,,engagement ring,"""CrownRing Rope WB-009R7Y"" ""Shop CrownRing WB-009R7Y Wedding bands | Koehn & Koehn""","""
                                 Represent every vow you take with your loved one with the superb craftsmanship of this  Modern wedding band. A Gents wedding band from Rope collection by the prestigious CrownRing, model number WB-009R7Y is the perfect ring to symbolize your vows. Crafted with 14k yellow gold, it is an elegant piece with classic lines. A sophisticated wedding band, it is crafted to honor your vows. 
 You may choose this ring in the following metal types: Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. 
 Seeking the perfect engagement ring? Koehn & Koehn Jewelers of West Bend, WI, boasts a vast selection of fine jewelry from today’s most prestigious luxury brands. Dedicated to providing the best customer service possible and are here to assist you in your search. Thus, we are proud to present this remarkable engagement ring as an authorized retailer of CrownRing.                                 "" "
,,,,,authorized,contact us or visit our shop,,"""CrownRing Rope Wedding Band WB-009R7Y"" ""Shop CrownRing WB-009R7R band | Moyer Fine Jewelers""","""<p>Just as a oath of eternal love and commitment is uttered during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing stands for. This 14k yellow gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 7.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,Honolulu,,,,,,,"""CrownRing Rope WB-009R7Y""","""
                                A subtle ring like a wedding band means everything. This Modern wedding band can signify your love in a way that nothing else can. For the soul mates out there, we bring you this original CrownRing classic. Its 14k yellow gold construction glistens for as long as your love stays strong. Gents everywhere will know that a ring like this means the world. This band is available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950.
 
The Wedding Ring Shop in Honolulu brings you this and more exceptional creations so you can have the perfect wedding day. Started by a 3rd generation Kamaaina Family in 1987, The Wedding Ring Shop helps the community commemorate life's special moments.                                "" "
,,,,,authorized,contact us or visit our shop,,"""CrownRing Rope Wedding Band WB-009R7Y"" ""Shop CrownRing WB-015RD4W band | Moyer Fine Jewelers""","""<p>Just as a oath of eternal love and commitment is uttered during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing stands for. This 14k yellow gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 7.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,,,,,authorized,contact us or visit our shop,,"""CrownRing Rope Wedding Band WB-009R7Y"" ""Shop CrownRing WB-004R8W band | Moyer Fine Jewelers""","""<p>Just as a oath of eternal love and commitment is uttered during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing stands for. This 14k yellow gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 7.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,,,,,authorized,contact us or visit our shop,,"""CrownRing Rope Wedding Band WB-009R7Y"" ""Shop CrownRing WB-020RD8R band | Moyer Fine Jewelers""","""<p>Just as a oath of eternal love and commitment is uttered during memorable weddings, the presentation of classy wedding bands, such as this stunning piece unravels, is what CrownRing stands for. This 14k yellow gold wedding band is one more thing added to the many things to toast for during such a joyful occasion of the joining of two hearts.  Gents would surely find in this piece that feeling of heartfelt sentiment. </p>
<p>This piece is also available in Available in 10k, 14k, 18k (white, yellow or rose gold), palladium 950 or platinum 950. It is 7.00 mm in width. So seal the deal and embark on a new chapter of your life with this wedding band from CrownRing. This piece is just one of the many alluring pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of CrownRing. We’re always glad to serve you so don’t think twice to contact us or visit our shop.</p>"" "
,"Chicago, IL",,,,authorized,call us by phone or email,,"""CrownRing Rope WB-009R7Y"" WB-009R7Y | Diamonds On Wabash""","""
 Commit the vow you made during your wedding day with this enchanting wedding band brought to you by the prestigious brand, CrownRing. 14k yellow gold adorn this ring beautifully as a symbol of true love. 
Diamonds on Wabash is an authorized retailer of CrownRing in Chicago, IL. If you need more details about this CrownRing wedding band, feel free call us by phone or email, and our jewelry experts will be more than happy to help you.                                 "" "
,,,,,,Contact Northeastern Fine Jewelry at 1-855-795-NEFJ or info,,"""ArtCarved Vintage Wedding Band 11-WV4309-G"" ""Shop ArtCarved 11-WV5044W-G bands | Northeastern Fine Jewelry""","""<p>This 14k white gold, 14k yellow gold vintage wedding band for Gents by ArtCarved is ideal for fashion-forward newlyweds everywhere. The 11-WV4309-G tells your romantic late with beautiful attention to detail and carefully crafted metals and material. Fall in love with this ring, experience it live, and allow this ring’s astoundingly comfortable fit and unique look be the symbol for your long lasting love.</p>

<p>This band was crafted with great care and love, masterfully cut from 14k white gold, 14k yellow gold. The band's metal both speaks to the lasting strength of your bond and the unmistakeable beauty of your relationship as well. </p>

<p>Northeastern Fine Jewelry offers everything from matte finishes to twisted bands depending on your specific personality. Do you have any questions? Contact Northeastern Fine Jewelry at 1-855-795-NEFJ or info@nefj.com.</p>"" "
,,,,,authorized,,,"""ArtCarved Vintage 11-WV4309-G"" 11-WV5570-G""","""<p> Wearing this superior ArtCarved wedding band gives the extra kick to note that you're taken. Its model number is 11-WV4309-G. </p>

<p> Lewis Jewelers is an authorized dealer of ArtCarved. Swing by our store in Ann Arbor, Michigan now to check out our current deals and discover your ultimate piece. </p>"" "
,,,,,authorized,,,"""ArtCarved Vintage 11-WV4309-G"" 22-V2548HC-G""","""<p> Wearing this superior ArtCarved wedding band gives the extra kick to note that you're taken. Its model number is 11-WV4309-G. </p>

<p> Lewis Jewelers is an authorized dealer of ArtCarved. Swing by our store in Ann Arbor, Michigan now to check out our current deals and discover your ultimate piece. </p>"" "
the Wedding bands Vintage,,,,,,,,"""ArtCarved Vintage 11-WV4309-G"" 11-WV4309-G Wedding bands | Milanj Diamonds""","""
                            This wonderful ArtCarved wedding band with model number 11-WV4309-G is from the Wedding bands Vintage collection.As steadfast as your promise of love, is ArtCarved’s promise of joy and satisfaction with its remarkable selection of wedding bands. This Gents’s ring boasts impeccable beauty and quality. A Vintage wedding band style is well-embodied and designed in this classy piece, bringing to life this item’s assert of craftiness and excellence. Without stone stones are embedded on the ring, elevating the meek grandeur already achieved by the piece. Formed with 18k yellow gold, 18k white gold metal, this wedding band indeed is a union of trend and substance – a unique find in this time and age. We promise that you will love your ArtCarved wedding band with model number 11-WV4309-G                        "" "
,,,,,,,,"""ArtCarved Vintage 11-WV4309-G"" ""Shop ArtCarved 11-WV4309-G Wedding bands | Carter's Diamonds and Fine Jewelers""","""
Wedding band with intricate engraved design and rounded edges.                                "" "
,,,,,,Contact Northeastern Fine Jewelry at 1-855-795-NEFJ or info,,"""ArtCarved Vintage Wedding Band 11-WV4309-G"" ""Shop ArtCarved 11-WV7339W-G bands | Northeastern Fine Jewelry""","""<p>This 14k white gold, 14k yellow gold vintage wedding band for Gents by ArtCarved is ideal for fashion-forward newlyweds everywhere. The 11-WV4309-G tells your romantic late with beautiful attention to detail and carefully crafted metals and material. Fall in love with this ring, experience it live, and allow this ring’s astoundingly comfortable fit and unique look be the symbol for your long lasting love.</p>

<p>This band was crafted with great care and love, masterfully cut from 14k white gold, 14k yellow gold. The band's metal both speaks to the lasting strength of your bond and the unmistakeable beauty of your relationship as well. </p>

<p>Northeastern Fine Jewelry offers everything from matte finishes to twisted bands depending on your specific personality. Do you have any questions? Contact Northeastern Fine Jewelry at 1-855-795-NEFJ or info@nefj.com.</p>"" "
,,,,,authorized,,timeless Gents ArtCarved wedding ring,"""ArtCarved Vintage 11-WV4309-G"" ""Shop ArtCarved 11-WV4309-G Wedding bands | Carter's Diamonds and Fine Jewelers""","""
 You’ll find an wide selection of brand named wedding bands at Carter’s Diamonds and Fine Jewelry. We are proud to be an authorized ArtCarved retailer. Wedding ring are meant to last a lifetime which is why we carry only the best brands. This timeless Gents ArtCarved wedding ring is spectacular. It is finely crafted of 18k yellow gold, 18k white gold and comes from the popular Vintage collection. Wedding rings are an enduring symbol of your unending commitment.                                 "" "
,,,,,,,,"""ArtCarved Vintage 11-WV4309-G"" 11-WV4309-G Wedding bands | Milanj Diamonds""","""
                            Wedding band with intricate engraved design and rounded edges.                        "" "
,,,,,,Contact Northeastern Fine Jewelry at 1-855-795-NEFJ or info,,"""ArtCarved Vintage Wedding Band 11-WV4309-G"" ""Shop ArtCarved 11-WV7300W-G bands | Northeastern Fine Jewelry""","""<p>This 14k white gold, 14k yellow gold vintage wedding band for Gents by ArtCarved is ideal for fashion-forward newlyweds everywhere. The 11-WV4309-G tells your romantic late with beautiful attention to detail and carefully crafted metals and material. Fall in love with this ring, experience it live, and allow this ring’s astoundingly comfortable fit and unique look be the symbol for your long lasting love.</p>

<p>This band was crafted with great care and love, masterfully cut from 14k white gold, 14k yellow gold. The band's metal both speaks to the lasting strength of your bond and the unmistakeable beauty of your relationship as well. </p>

<p>Northeastern Fine Jewelry offers everything from matte finishes to twisted bands depending on your specific personality. Do you have any questions? Contact Northeastern Fine Jewelry at 1-855-795-NEFJ or info@nefj.com.</p>"" "
,,,,,,,engagement ring,"""RoyalT - ht2626pr75y"" ht2626pr75y | Engagement Ring Tacori""","""All eyes will be on your center diamond, in this not so simple solitaire princess cut diamond engagement ring, sparkling in yellow gold. A sleek band with pavé set diamonds brings your brilliant princess cut diamond to life, making it worthy of your love.  RoyalT designs are only available in platinum, 18kt rose gold, and 18kt yellow gold.""@en "
,,,,,,,,"""Tacori RoyalT HT2626PR75Y"" ""Shop Tacori HT2626PR75Y Engagement rings | Yelton Fine Jewelers""","""
Your search for the ultimate Vintage, Milgrain engagement ring is finally over.  Feast your eyes on this elegant piece from Tacori. This 18k yellow gold piece of beauty will surely radiate intricacy and splendor. With this Princess-shaped center stone as crowning glory, who can say no to such a thing of exquisite class? The model number for this item is HT2626PR75Y.                                "" "
