cleanse,organic,ingredient,anti-allergy,color,source_region,channel,pattern,design_style,product_special_size,series,occasion,other_applied_container,package_function,special_package_materials,award_title,title,description
,,,,,,Small Appliance Direct,,,,Programmable Coffeemaker,,,,,,""" Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT | Small Appliance Direct"" ""Mr. Filtration","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy. "" "
Special cleaning cycle,,,,,,Small Appliance Direct,,,,Programmable Coffeemaker,,,,,,"""Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT"" Tea & Espresso Appliances | Small Appliance Direct"" ""Coffee","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy."" "
Special cleaning cycle,,,,,,Small Appliance Direct,,,,Programmable Coffeemaker,,,,,,"""Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT"" ""Coffee Machines | Small Appliance Direct""","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy."" "
,,,,,US,,,,,,,,,,,"""Mr. Coffee BVMC-SJX33GT Review: Does the Programming Really Work?""-US",
self cleaning cycle ,,,,,,Outlet Direct,,,,Programmable Coffeemaker,,,,,,"""Mr. Coffee BVMC-SJX33GT 12-Cup Programmable Coffeemaker (Certified Refurbished)"" ""Coffee Makers - Page 221 | Outlet Direct""","""The Mr. Coffee BVMC-SJX33GT Programmable 12-Cup Coffee Maker features a modern design to enrich the style of your kitchen. The Mr. Coffee Programmable Coffee Maker includes various features such as on/off indicator light, removable filter basket and a brewing pause 'n serve setting. The coffee maker also features a water window to show the amount of water in the reservoir, a cord storage to prevent clutter and a brew strength selector to personalize your coffee. Finally, the BVMC-SJX33GT is compatible with a glass or thermal carafe. The thermal carafe will keep your coffee hot for hours and is great for entertaining! This coffeemaker is designed to work with the Mr. Coffee Thermal Stainless Steel Decanter DRD95 (must be purchased separately). PRODUCT FEATTURES... Recognized by a leading consumer magazine as one of the best coffeemakers for the 3rd consecutive year (2011, 2012, 2013). The Water Filtration system helps remove up to 97% of the chlorine from the water and improves the taste of your coffee as a result of the Mr. Coffee water filter and brewing process. You will enjoy the brewing pause 'n serve that lets you pour a cup of coffee while the coffeemaker is still brewing. And, the self cleaning cycle makes cleaning your coffeemaker quick and easy. You will also be able to relax knowing that the 2-Hour auto shut-off keeps your coffee hot for 2-hour, then automatically shuts off."" "
,,,BPA free,,,,, innovative design,,Brewmaster,microwave- and dishwasher-safe,,,a durable medical grade plastic,,"""Tea Brewmaster, Plastic, 16 oz"" Brewmaster by Tiesta TIE69913 - OnTimeSupplies.com""","""Convenient Brewmaster is steeping made easy, allowing easy access to delicious loose leaf tea. Made from a durable medical grade plastic. It is BPA free, microwave- and dishwasher-safe. Its innovative design allows for an easy three-step process for safe and speedy brewing. Simply scoop, steep and enjoy! 
"" "
,,,BPA free,,,,, innovative design,,Brewmaster,microwave- and dishwasher-safe,,,a durable medical grade plastic,,"""Tiesta Tea Brewmaster"" Plastic "" Tiesta Brewmaster 16 oz - TIE69913 ReStockIt ""","""Convenient Brewmaster is steeping made easy, allowing easy access to delicious loose leaf tea. Made from a durable medical grade plastic. It is BPA free, microwave- and dishwasher-safe. Its innovative design allows for an easy three-step process for safe and speedy brewing. Simply scoop, steep and enjoy! Warmer: No; Capacity (Volume): 16 oz; Width: 2""; Depth: 4 3/4"". UPC: 799632669913
""@en "
,,,,,,,,,,,,,,,,"""Mighty Leaf Tea Whole Pouches"" Organic Spring Jasmine "" Mighty Pouches 15/Box - MLC40016 ReStockIt ""","""Elevate your tea experience with Mighty Leaf Tea's whole leaf, loose leaf tea pouches. Blends are made from a pure state, using only the top leaves and buds from the tea plant. All teas and ingredients come from artisan tea gardens on every continent. The award winning commercially compostable tea pouches allow leaves to unfurl properly and offer a bold, rich and fragrant cup, beyond a tea drinker's expectations. Beverage Type: Tea; Flavor: Organic Spring Jasmine; Packing Type: Filterbag; Capacity (Weight): 1.32 oz. Compostable in commercial compost.CUBE: 1.00UPC: 656252400169
""@en "
,,,,,,,,,,,,,,,,"""Whole Leaf Tea Pouches, Organic Spring Jasmine, 15/Box"" Pouches by Mighty Leaf® MLC40016 - OnTimeSupplies.com""","""Provide the very best tea with Mighty Leaf Tea's handcrafted whole tea leaves that touch all the senses. Consumers are demanding higher grade teas, and these pouches are heightened with intoxicatingly fragrant fruits, spices and blossoms to exceed those expectations. Blends are wrapped in award winning commercially compostable tea pouches to provide up to a 14 oz. serving. 
"" "
,,,,,,,,,,Real Medleys Oatmeal,at home,portable packaging,,,,"""Real Medleys Oatmeal, Apple Walnut Oatmeal+, 2.64oz Cup, 12/Carton"" Oatmeal by Quaker® QKR15504 - OnTimeSupplies.com""","""Taste the difference real fruit and nuts make. Each unique combination is made with wholesome multigrains like oats, rye, barley and wheat as well as premium dried fruit, nuts and spices. Convenient, portable packaging makes it easy to enjoy oatmeal at home, at the office or on the go. It's also easy to make – just add water and microwave. There's no bowl, no mess to clean up later. 
"" "
,,,,,,,,,, Real Medleys Oatmeal,at home,portable packaging,,,,"""Quaker Foods Real Medleys Oatmeal"" 2.64oz Cup Apple Walnut Oatmeal+ 12/Carton - QKR15504 ReStockIt "" "" Quaker Oatmeal","""Taste the difference real fruit and nuts make. Each unique combination is made with wholesome multigrains like oats, rye, barley and wheat as well as premium dried fruit, nuts and spices. Convenient, portable packaging makes it easy to enjoy oatmeal at ho UPC: 030000315507
""@en "
,,zero trans fat,,,,,,,,100 Calorie Chips,,,,,,"""Nabisco 100 Calorie Chips Ahoy Chocolate Chip Cookie"" 6/Box - CDB05343 ReStockIt "" "" Nabisco Cookie","""The healthier alternative for a sweet snack. Cookies contain only 100 calories and zero trans fat. Food Type: Cookies; Flavor: Chocolate Chip; Capacity (Weight): 4/5 oz; Packing Type: Pack. UPC: 044000053437
""@en "
,,zero trans fat,,,,,,,,101 Calorie Chips,,,,,,"""100 Calorie Chips Ahoy Chocolate Chip Cookie, 6/Box"" Cookie by Nabisco® CDB05343 - OnTimeSupplies.com""","""The healthier alternative for a sweet snack. Cookies contain only 100 calories and zero trans fat. 
"" "
