channel,warranty,made_in,source_region,sustainability,shipping,industry_standard,applied_printer_model,applied_printer_tech,customer_service,authenticity,product_type,compatibility,applied_target,store,board_function,product_material,pad_material,paper_function,hole,cleanse,envelope_material,pen_function,ink_function,notebook_cover,title,description
,,,,,,,,,,,,COMPATIBLE FOR 7K / T650A11A,,,,,,,,,,,,,"""Compatible for LEXMARK T650N RP PRINT CARTRIDGE BLACK 7K"" "" COMPATIBLE FOR 7K / T650A11A",
,,,,,,,,,,,,COMPATIBLE FOR 7K / T650A11A,,,,,,,,,,,,,"""Compatible for LEXMARK T650N RP PRINT CARTRIDGE BLACK 7K"" "" COMPATIBLE FOR 7K / T650A11A",
,,,,,,ISO/IEC 19752,,Laser Printer,,,Cartridge,"compatible with numerous printers, including Lexmark T 650dn, Lexmark T 650dtn, Lexmark T 650n, Lexmark T 652dn",,,,,,,,,,,,,"""Lexmark T65X Black Ink Cartridge"" "" Lexmark Cartridge - T650A11A Laser Printer Toners CDW.com","""The Lexmark T65X Toner Cartridge is designed to print documents, charts, graphs and more with precision. This return program cartridge comes with a 7000-page duty cycle to maximize print productivity. It is compatible with numerous printers, including Lexmark T 650dn, Lexmark T 650dtn, Lexmark T 650n, Lexmark T 652dn and many more to provide flexible operations. Complying with the ISO/IEC 19752 standards, this cartridge minimizes print time and increases efficiency. The standard yield toner enhances document quality with clean and crisp black text and graphics. Get this reliable and efficient printer cartridge to simplify printing at work or at home.  Black toner cartridge ensures high-quality printsPrints crisp, clear text that stands out on a bright white page7,000-page yield for maximum print capacityCompatible with a number of printers for flexibility"" "
,,,,,,,LEXMARK 7K,,,,,,,,,,,,,,,,,,"""LEXMARK T650N RP PRINT CARTRIDGE BLACK 7K"" "" LEXMARK 7K / T650A11A",
,,,,,,,,,,Genuine,Toner Cartridge,,,Printer Experts,,,,,,,,,,,"""Genuine Lexmark C930H2MG Magenta Toner Cartridge (24,000 Yield)"" 000 Yield) -- Printer Experts | Experts"" (24","""Lexmark New Original  C930, C932 Series Magenta Toner (24 000 Yield)"" "
,,,,,,,,,,,,,,,,,,,,,,,,,"""Lexmark 0C930H2MG - Prijzen ""@NL Tweakers""@NL",
,,,,,,,,,,,TONER CARTRIDGE,Compatible for LEXMARK C935,,,,,,,,,,,,,"""Compatible for LEXMARK C935 TONER CARTRIDGE MAGENTA HY"" "" COMPATIBLE FOR HY / C930H2MG",
,,,,,,,,,,,TONER CARTRIDGE,Compatible for LEXMARK C935,,,,,,,,,,,,,"""Compatible for LEXMARK C935 TONER CARTRIDGE MAGENTA HY"" "" COMPATIBLE FOR HY / C930H2MG",
,,,,,,,,,,,TONER CARTRIDGE,,,,,,,,,,,,,,"""LEXMARK C935 TONER CARTRIDGE MAGENTA HY"" "" LEXMARK HY / C930H2MG",
,,,,,,,,,,,Toner Cartridge,,,,,,,,,,,,,,"""Lexmark C930H2MG, Toner Cartridge- HC Magenta, C935- Original"" Magenta C930H2MG","""Lexmark C930H2MG, Toner Cartridge- HC Magenta, C935- Original""@en "
,,,,,,,5 Lexmark C Series printers,,,Genuine,Toner Cartridge,,,Printer ValueShop,,,,,,,,,,,"""Genuine Lexmark High Capacity Magenta Toner Cartridge, 24K Yield (C930H2MG)"" ""Lexmark C930H2MG Cartridge - Printer ValueShop""","""




                    Genuine high capacity Lexmark magenta toner cartridge, part number C930H2MG for 5 Lexmark C Series printers.
                "" "
,,,,,,,,,,,TONER CARTRIDGE,,,,,,,,,,,,,,"""LEXMARK C935 TONER CARTRIDGE MAGENTA HY"" "" LEXMARK HY / C930H2MG",
,,,,,,,,,,,TONER CARTRIDGE,,,,,,,,,,,,,,"""LEXMARK C935 TONER CARTRIDGE MAGENTA HY"" "" LEXMARK HY / C930H2MG",
,Genuine Lexmark Toner Cartridge products are backed by our warranty.,,US,,,ISO quality system,,,,,Toner Cartridge,,,Ink4Less,,,,,,,,,,,"""Lexmark C930H2MG High Yield Magenta Toner Cartridge""-us Cartridge by Lexmark | ink4less.com""-us","""The Lexmark C930H2MG High Yield Magenta Toner Cartridge has been specifically designed to produce consistent, sharp output from your Lexmark printer (see other compatibility below). The C930H2MG has been manufactured under industry standards, including requirements based on the ISO quality system, and is warranted to be free from defects in materials and workmanship for one year for Compatible and Remanufactured products. Genuine OEM products are warrantied by their respective manufacturer.Genuine Lexmark Toner Cartridge products are backed by our warranty. Get your printer ink for less at Ink4Less today.""@en-us "
,,,, Lexmark Cartridge Collection Program,,,,,Collection programs are always free to the consumer,Genuine,Toner Cartridge,,,,,,,,,,,,,,"""Genuine Lexmark Magenta High Yield Toner Cartridge (24,000 Pages) for C935 Printers"" 000 - 0C930H2MG "" "" (24","""
                            Magenta High Yield Toner Cartridge (24,000 Pages) for Lexmark C935 Printers. Lexmark Cartridge Collection Program includes various methods of return and sponsors unique collection partnerships around the world. Collection programs are always free to the consumer and are designed to be easy to use. Country-specific instructions and shipping labels are available online. Empty cartridges may also be returned through participating Lexmark authorised supplies resellers.""@en "
,,,,,,,, Color Laser,,Genuine,Toner Cartridge,compatible with Lexmark C935,,,,,,,,,,,,,"""C930H2MG Toner Cartridge - Lexmark Genuine OEM (Magenta)"" ""C930H2CG (Cyan)""","""
                                

                                Genuine OEM Lexmark Toner Cartridge, Magenta, High Capacity 24,000 page yield. Lexmark part number: C930H2MG. Color Laser Toner Cartridge compatible with Lexmark C935.
                            "" "
,,,,,,,"C935, C935dn, C935dtn, C935hdn",,,Genuine,Toner Cartridge,,,,,,,,,,,,,,"""C930H2MG Genuine Lexmark High-Yield Toner Cartridge, 24000 Page-Yield, Magenta"" Page-Yield Cartridge Magenta - C-935DN C Series Ink & Toner""","""Genuine Lexmark magenta toner for C935, C935dn, C935dtn, C935hdn. Creates crisp professional-quality prints and documents. Expect fine lines, crisp edges, and sharp borders. High-capacity ensures maximum print volume.""@en "
,,,,,,,COMPATIBLE FOR HY,,,,TONER CARTRIDGE,Compatible for LEXMARK C935,,,,,,,,,,,,,"""Compatible for LEXMARK C935 TONER CARTRIDGE MAGENTA HY"" "" COMPATIBLE FOR HY / C930H2MG",
,,,,,,,,,,,Presentation Boards,,,Office Supplies Authority,Spotlight Corrugated,,,,,,,,,,"""Pacon Spotlight Corrugated Presentation Display Boards, 48 x 36, Assorted, 4/Carton"" ""Presentation Boards - Page 5 | Office Supplies Authority""","""Spotlight Corrugated Presentation Display Boards"" "
,,,,,,, Pacon Spotlight Corrugated Presentation Display Boards,,,,Poster Boards,,,Office Supplies Authority,Spotlight Corrugated,,,,,,,,,,"""Pacon Spotlight Corrugated Presentation Display Boards, 48 x 36, Assorted, 4/Carton"" ""Poster Boards | Office Supplies Authority""","""Spotlight Corrugated Presentation Display Boards"" "
,,,,,,,Pacon Board ,,,,Presentation Board,," for science fair projects, booths and displays",,,Natural Kraft on the back side,,,,,,,,,"""Pacon Presentation Board"" "" Pacon Board - PAC37654 ReStockIt ""","""Presentation BoardSingle-wall corrugated board. Natural Kraft on the back side.Presentation BoardTri-fold 48 x 36 board for science fair projects, booths and displays.Colors Include-One each of blue, green, yellow & red.4 per CartonAssortedHeader sold separately, item PAC3761.ALTERNATE ITEM #: 154523, 518307, 37654, B001E677FAUPC: 045173376545
""@en "
,,,,,,,Spotlight Corrugated Presentation Display Boards,Natural Kraft on back side. ,,,,,"for science fair projects, booths and displays",,Spotlight Corrugated,Natural Kraft on back side,,,,,,,,,"""Spotlight Corrugated Presentation Display Boards, 48 x 36, Assorted, 4/Carton"" Boards by Pacon® PAC37654 - OnTimeSupplies.com""","""Ideal for science fair projects, booths and displays. Lightweight, single-wall corrugated board for easy portability. Natural Kraft on back side. 
"" "
,,,US,,,,Pacon,,,,Presentation Boards,,,,,,,,,,,,,,""" Pacon Presentation Boards ""-US ""Pacon - PAC37654 | OfficeSupply.com""-US",
,,,,,,,,,,,Self Stick Easel Pads,,,,,,with no release liner,bleed-resistant paper,,,,,,,"""Self Stick Easel Pads, Unruled, 25 x 30, White, 2 30 Sheet Pads/Carton"" Pads by Universal® UNV35603 - OnTimeSupplies.com""","""A high-quality, value-priced easel pad with no release liner. Self-sticking sheets adhere to most surfaces and leave no messy residue. 20-lb. bleed-resistant paper. Convenient carrying handle. 
"" "
Outlet,,USA,,,,,,,,,Self-Stick Easel Pads,,,,,,Canvas Panels,,,,,,,,"""Self-Stick Easel Pads, 2 30-Sheet Pads/Carton"" ""Art Paper - Page 47 | Products Outlet""","""UNV35603 Features: -Pad type: Easel. -Ruling: Unruled. -Number of sheets per pad: 30. -Sheet perforation: Perforated. -Made in USA. -Sheet: 25'' x 30''. Product Type: -Canvas Panels. Dimensions: Overall Width at Base - Side to Side: -25.5"". Overall Depth at Base - Front to Back: -0.88"". Overall Product Weight: -8.5 lbs."" "
,,,,,,,,,,,Self-Stick Easel Pads,,,Office Furniture Town,,,with no release liner,bleed-resistant paper,,,,,,,"""Universal Oneâ„¢ Self-Stick Easel Pads, Unruled, 25 X 30, White, 2 30-Sheet Pads/Carton"" ""Carts & Stands - Page 321 | Office Furniture Town""","""A high-quality, value-priced easel pad with no release liner. Self-sticking sheets adhere to most surfaces and leave no messy residue. 20-lb. bleed-resistant paper. Convenient carrying handle."" "
,,,,30% post-consumer recycled content,,,,,,,Self-Stick Easel Pad,,,,,,,bleed-resistant paper,,,,,,,"""Universal Self Stick Easel Pad"" Faint Grid Pattern 25 x 30 2 Pads/Pack - UNV35603 ReStockIt "" Sheets/Pad "" Universal Pad","""Self-Stick Easel PadA high-quality, economical alternative to the leading brand. Peel away the liner strip to expose the repositionable adhesive. Self-sticking sheets leave no messy residue and stick to most surfaces. 20-lb. bleed-resistant paper contains 30% post-consumer recycled content. Convenient carrying handle. 25 x 30 sheets. 30 sheets per pad. 2 pads per pack.COLOR: WhiteALTERNATE ITEM #: 574032, 573058, B002XJNF94, SPR52625CUBE: 1.00UPC: 087547356036INNER PACKAGING: 30.
""@en "
,,,,,,,,,,,Toner Cartridge,,,4inkjets,,,,,,,,,,,""" Canon GPR17 Compatible Black Toner Cartridge 0279B003AA (45,000 Pages)"" ""Canon ImageRunner 5070 Cartridges - 4inkjets""",
,,,,,,,,Laser Printer,,,,,,Office Supplies Authority,,,,,,,,,,,"""Canon GPR-17 for Use In Models Imagerunner 5570 / 6570 Digital Copier, Average Yield 45,000"" ""Copiers | Office Supplies Authority""","""Creates crisp and professional looking output. Designed to complement your printers capability. Installs easily, saving time and energy. Device Types: Laser Printer Colors: Black Page-Yield: 45000."" "
,,,,,,,,Laser Printer,,,Toner Cartridge,,,,,,,,,,,,,,"""Canon GPR 17 Black Toner Cartridge "" Canon - 0279B003AA Laser Printer Toners CDW.com","""Canon has poured all the Know How of its extraordinary history of developing innovative office machines into each of its copiers, printers, and networked office systems. The same superiority of design and manufacture goes into all of the Canon-branded consumable imaging supplies and parts for this equipment. Naturally, no one makes better parts and supplies for Canon products than Canon. Using genuine Canon parts and supplies is your best insurance against equipment damage, and possibly voiding your equipment warranty."" "
,,,,,,,,,,Genuine,Toner Cartridge,"ImageRunner 5070, ImageRunner 5570, ImageRunner 6570, GPR17",,,,,,,,,,,,,"""0279B003AA ( GPR 17 )Genuine Canon Toner Cartridge, 45000 Page-Yield, Black"" Cartridge Page-Yield Black - Imagerunner 5570 ImageRunner Ink & Toner""","""Genuine Canon toner for ImageRunner 5070, ImageRunner 5570, ImageRunner 6570, GPR17. Creates crisp and professional looking output. Designed to compliment your printers capability. Installs easily, saving time and energy.""@en "
Online,,,,,,,,Laser Printer,,,,,,Office Tech Online,,,,,,,,,,,"""Canon GPR-17 for Use In Models Imagerunner 5570 / 6570 Digital Copier, Average Yield 45,000"" ""Copiers - Page 5 | Office Tech Online""","""Creates crisp and professional looking output. Designed to complement your printers capability. Installs easily, saving time and energy. Device Types: Laser Printer Colors: Black Page-Yield: 45000."" "
,one year,,us,,,ISO quality system,,,,,Copier Toner,,,,,,,,,,,,,,"""Canon GPR-17BK (0279B003AA) Black Copier Toner""-us Toner by Premium Quality | ink4less.com""-us","""The Canon GPR-17BK (0279B003AA) Black Copier Toner has been specifically designed to produce consistent, sharp output from your Canon printer (see other compatibility below). The 0279B003AA has been manufactured under industry standards, including requirements based on the ISO quality system, and is warranted to be free from defects in materials and workmanship for one year for Compatible and Remanufactured products. Genuine OEM products are warrantied by their respective manufacturer.Compatible Copier Toner Cartridge products are backed by our warranty. Get your printer ink for less at Ink4Less today.""@en-us "
,,,,,,,,,,,Toner,,,,,,,,,,,,,,""" Compatible GPR17 Canon 0279B003AA Black Toner - (45,000 Pages)"" ""Canon ImageRunner 6570 Laser Cartridges and Printer Supplies InkCartridges""",
,,,,,,,,,,,Open Rotary Card File,,,,,,,,,,,,,,"""Rolodex Open Rotary Card File"" Black Finish - ROL66700 ReStockIt "" 24 Guides 250 1 3/4 x 3 1/4 Cards "" Rolodex File","""Open Rotary Card File, Black FinishTubular metal frame. Cards rotate and hold steady for viewing. Includes cards and insertable tab A-Z index guides.250 Cards/24 GuidesIdeal card size for a name and fax number.1-3/4 x 3-1/4 Card SizeCOLOR: BlackALTERNATE ITEM #: 839761, 805929, 66700, B00006IBS5UPC: 071912667001
""@en "
Outlet,,,,,,,,,,,Open Rotary Card File,,,Paper Products Outlet,,,,,,,,,,,"""Rolodex 66700 Open Rotary Card File Holds 250 1 3/4 x 3 1/4 Cards Black"" ""Cards & Stock - Page 371 | Paper Products Outlet""","""Open Rotary Card File Holds 250 1 3/4 x 3 1/4 Cards"" "
,,,,,,,,,,,Classic Mini Open Rotary File,,,Office Supplies Authority,,,,,,,,,,,"""Rolodex Card File, Classic Mini Open Rotary File 250-Cards 1-3/4"" x 3-1/4"", Box of 1, Black (ROL66700)"" ""Filing Products - Page 1151 | Office Supplies Authority""","""Swivels to give you 360-degree access to all of your contacts. Includes 250 blank 1-3/4"" x 3-1/4"" cards and 24 blue A-Z index dividers. Large, easy-grip textured knobs make it easy to find the card you need.. Smooth-turning rotary mechanism allows cards to rotate then hold steady for viewing. Made with a tough tubular metal frame and high gloss finish"" "
,,,,,,,,,,,,,,Teacher Supplies Direct,,,,,,,,,,,"""Rolodex Card File, Classic Mini Open Rotary File 250-Cards 1-3/4"" x 3-1/4"", Box of 1, Black (ROL66700)"" ""Filing Products - Page 41 | Teacher Supplies Direct""","""Swivels to give you 360-degree access to all of your contacts. Includes 250 blank 1-3/4"" x 3-1/4"" cards and 24 blue A-Z index dividers. Large, easy-grip textured knobs make it easy to find the card you need.. Smooth-turning rotary mechanism allows cards to rotate then hold steady for viewing. Made with a tough tubular metal frame and high gloss finish"" "
,,,,,,,,,,,,,,Open Rotary Card File,,,,,,,,,,,"""Open Rotary Card File Holds 250 1 3/4 x 3 1/4 Cards, Black"" Cards by Rolodex™ ROL66700 - OnTimeSupplies.com""","""Keep contact information organized and within reach with the Rolodex Open Rotary Card File. With snap-in cards and A-to-Z index dividers, the convenient rotary card file includes everything you need to file and retrieve phone numbers and emails. 
"" "
,,,US,,,,,,,,Classic 250 Card Rotary File,,,,,,,,,,,,,,"""Rolodex Classic 250 Card Rotary File""-US ""Shop for Files & Holders Storage Organization and More | OfficeSupply.com""-US",
,,,US,,,,,,,,Paper,,,,,,,,,,,,,,""" Mead Wide Ruled Loose Leaf Paper ""-US ""Mead - MEA15200 | OfficeSupply.com""-US",
,,,,,,,,,,,Filler Paper,,,Office Supplies Authority,,,,,three hole-punched,,,,,,"""Filler Paper by Mead, Wide Ruled, 200 Sheets (15200), 5 Pack 8 x 10.5"" ""Paper - Page 1331 | Office Supplies Authority""","""Mead Filler Paper is very durable and will hold up well during the school year and beyond. Mead Filler Paper is three hole-punched for easy placement in a standard binder or pocket & prong folder. It is wide ruled for clear note taking and comes with 200 sheets."" "
,,,,,,,,,,,Filler Paper,,,,,,,,Three-hole punched,,,,,,"""Filler Paper, 15lb, Wide Rule, 3 Hole, 10 1/2 x 8, 200 Sheets"" Paper by Mead® MEA15200 - OnTimeSupplies.com""","""Three-hole punched for use in standard three-ring binders. Red margin rule. 
"" "
Outlet,,,US,,,,,,,,Filler Paper,,,Office Outlet Express,,,,,three hole-punched,,,,,,"""Filler Paper by Mead, Wide Ruled, 200 Sheets (15200), 3 Pack""-US | Office Outlet Express""-US","""Mead Filler Paper is very durable and will hold up well during the school year and beyond. Mead Filler Paper is three hole-punched for easy placement in a standard binder or pocket & prong folder. It is wide ruled for clear note taking and comes with 200 sheets.""@en-US "
Outlet,,,,,,,,,,,Filler Paper,,,Products Outlet,,,,,three hole-punched,,,,,,"""Filler Paper by Mead, Wide Ruled, 200 Sheets (15200), 5 Pack 8 x 10.5"" - Page 41 | Products Outlet""","""Mead Filler Paper is very durable and will hold up well during the school year and beyond. Mead Filler Paper is three hole-punched for easy placement in a standard binder or pocket & prong folder. It is wide ruled for clear note taking and comes with 200 sheets."" "
,,,U.S.A.,,,,,,,,Filler Paper,,,,,,,,Three-hole punched,,,,,,"""Acco Mead Economical 16 lb. Filler Paper"" "" Acco Paper 200 Sheets/Pack - MEA15200 ReStockIt "" Wide Ruled 10 1/2 x 8","""Economical Filler PaperWhite, 16-lb. paper with red margin rule. Three-hole punched for ring binders. Made in U.S.A.Wide Ruled200 Sheets per Pack10-1/2 x 8COLOR: WhiteALTERNATE ITEM #: 498865, JV44848, B00005C55OUPC: 043100152002INNER PACKAGING: 200 Sheet.
""@en "
,,,,,,,,,,,,,,Laser Printer Hanging Expandable Binder,,,,,3 Hole,Washable,,,,,"""Acco Quartet Laser Printer Hanging Expandable Binder"" "" Acco Binder Blue - QRT52180132 ReStockIt "" 3 Hole 11 x 8 1/2 Sheets","""Large Surface Eraser for Dry Erase Boards and Chalkboards Oversized, washable foam eraser works overtime in the classroom or conference room. Durable, ergonomic handle. Washable.ALTERNATE ITEM #: BON52180132, 341384, B001E6BI3WUPC: 026426180133
""@en "
,,,,,,,,,,,Large Chalkboard/Dry Erase Eraser,,"use in classrooms, conference rooms and other heavy-use environments",,,,,,,Hand washable,,,,,"""Ergonomic Handle Large Chalkboard/Dry Erase Eraser, Foam, 12w x 2 1/4d 3h"" Eraser by Quartet® QRT52180132 - OnTimeSupplies.com""","""Oversized eraser cleans large whiteboard and chalkboard surfaces with ease. Very versatile, it's ideal for use in classrooms, conference rooms and other heavy-use environments. Hand washable, lightweight material allows for years of repeated use. Features durable, ergonomic handle. 
"" "
,,,US,,,,,,,,Large Surface Dry-Erase & Chalkboard Eraser,,,,,,,,,,,,,,"""Quartet Large Surface Dry-Erase & Chalkboard Eraser""-US ""Shop for Board Erasers Accessories and More | OfficeSupply.com""-US",
,,,,,,,,,,,Clasp Envelope,,"for schools, administrative records and business mailing, with a smooth, windowless surface for customized messages",,,,,,,,Brown Kraft,,,,"""Clasp Envelope, 10 x 12, 28lb, Brown Kraft, 100/Box"" Envelope by Quality Park™ QUA37895 - OnTimeSupplies.com""","""Replenish the office supply with a bulk dispenser. Keeping a large quantity in stock makes it easy for every employee to access the envelopes as needed. They're designed and structured as a basic clasp envelope, useful for schools, administrative records and business mailing, with a smooth, windowless surface for customized messages. The flaps feature both metal clasps and gum adhesive for much-needed peace of mind. 
"" "
,,,,,,,,,,,Clasp Envelopes,,,,,,,,,,seamsKraft,,,,"""Quality Park Clasp Envelopes"" 100/Box - QUA37895 ReStockIt "" "" Quality Envelopes Kraft 28 lb. 10 x 12","""Heavyweight Clasp Envelopes Double prong metal clasps, reinforced eyelets Heavily gummed flaps, extra wide seamsKraft100 envelopes per box.Heavyweight 28-lb. Paper Stock5 Boxes per Carton10 x 12COLOR: Light BrownALTERNATE ITEM #: 259456, 7CL101328, 629133, B000DLBX1QUPC: 085227378958INNER PACKAGING: 100 per box.
""@en "
,,,US,,,,,,,,Easy Glide Gel Wrist Rest and Mouse Pad,,,,,,,,,,,,,,"""Fellowes Easy Glide Gel Wrist Rest and Mouse Pad, Black (93730)""-US ""Computer Accessories & Peripherals - Page 337 | 5 Free Hosting""-US","""Fellowes Patented wrist rest mechanism glides freely for optimal positioning to reduce wrist inflection and redistribute pressure points. Soft, durable jersey covering withstands daily wear and tear. Allows full movement without picking up mouse to backtrack. Optical-friendly mouse pad with superior tracking control.""@en-US "
,,,US,,,,,,,,Mouse Pad With Easy Glide Gel Wrist Rest,,,,,,,,,,,,,,"""Fellowes Mouse Pad With Easy Glide Gel Wrist Rest""-US ""OfficeSupply.com""-US",
,,,,,,,,,,,Easy Glide Gel Wrist Rest and Mouse Pad,,,,,,,,,,,,,,"""Fellowes Easy Glide Gel Wrist Rest and Mouse Pad"" "" Fellowes Pad Black/Black - FEL93730 ReStockIt ""","""Easy Glide Gel Wrist Rest and Mouse Pad Attached wrist rest glides freely at the base of the mouse padSoothing gel conforms to your wrist for maximum comfort and support. Large mouse pad provides superior tracking and allows for full, flowing movement without having to pick up mouse and backtrack. Mouse pad is optical mouse friendly. 10w x 12d x 1-1/2h.Black/BlackCOLOR: BlackALTERNATE ITEM #: 976537, 393808, 93730, B00006I58RUPC: 077511937309
""@en "
,,,,,,,,,,,Easy Glide Gel Mouse Pad,,,,,,,,,,,,,,"""Easy Glide Gel Mouse Pad w/Wrist Rest, 10 x 12 X 1 1/2, Black"" Rest by Fellowes® FEL93730 - OnTimeSupplies.com""","""Patented wrist rest mechanism glides freely for optimal positioning to help reduce wrist inflection and redistribute pressure points. Soft, durable jersey covering withstands daily wear and tear. Allows full movement without picking up mouse to backtrack. 
"" "
,,,,,,,,,,,Gel Mouse Pad,,,,,Lycra®,,,,,,,,,"""Gel Mouse Pad w/Wrist Rest, 6 1/4 x 10 1/8, Sapphire/Black"" Rest by Fellowes® FEL98741 - OnTimeSupplies.com""","""Enjoy superior tracking control. The integrated wrist rest provides exceptional support while redistributing pressure points. Durable Lycra® covering. Non-skid base holds the pad firmly in place. 
"" "
