Category,Attribute,Count,Percentage
home,UPC,12,0.84
home,warranty,9,0.63
home,origin,3,0.21
home,condition,3,0.21
home,material,55,3.86
home,dishwasherSafe,1,0.07
home,stackable,2,0.14
home,NSFApproved,1,0.07
home,dimensions,31,2.18
home,casePack,1,0.07
home,shippingWeight,1,0.07
home,shippingMethod,1,0.07
home,maxGlassHeight,1,0.07
home,maxGlassDiameter,1,0.07
home,compartmentCount,1,0.07
home,fuel_type,13,0.91
home,size,14,0.98
home,burners,9,0.63
home,ignition_system,3,0.21
home,ovens,4,0.28
home,flue_riser,6,0.42
home,parts_material,2,0.14
home,legs,9,0.63
home,total_btu,1,0.07
home,certifications,17,1.19
home,Brand,9,0.63
home,Fuel Type,3,0.21
home,Width,2,0.14
home,Burners,1,0.07
home,Ignition,1,0.07
home,Oven Base,1,0.07
home,Flue Riser,1,0.07
home,Legs,3,0.21
home,BTU,1,0.07
home,product_name,13,0.91
home,ignition_type,1,0.07
home,btu,1,0.07
home,series,5,0.35
home,type,40,2.81
home,tiers,1,0.07
home,temperature_range,2,0.14
home,materials,2,0.14
home,included_components,2,0.14
home,Model,5,0.35
home,Blade Assembly,1,0.07
home,Suitable For,1,0.07
home,Certification,2,0.14
home,capacity,21,1.47
home,temperature_control,2,0.14
home,voltage,5,0.35
home,power,4,0.28
home,current,2,0.14
home,cord_length,1,0.07
home,plug_type,2,0.14
home,compatibility,5,0.35
home,shipping,1,0.07
home,product_type,9,0.63
home,electrical_specifications,1,0.07
home,number_of_pan_wells,1,0.07
home,insulation,1,0.07
home,model_number,16,1.12
home,UPC_EAN,1,0.07
home,country_of_origin,2,0.14
home,case_pack,2,0.14
home,shipping_weight,2,0.14
home,shipping_method,2,0.14
home,additional_accessories,1,0.07
home,Product,7,0.49
home,Installation Type,1,0.07
home,Griddle Plate Material,1,0.07
home,Cooking Surface Dimensions,1,0.07
home,Construction Material,1,0.07
home,Thermostat Type,1,0.07
home,placement,2,0.14
home,width,15,1.05
home,depth,4,0.28
home,grate_material,1,0.07
home,grate_feature,1,0.07
home,rock_holder_material,1,0.07
home,front_material,1,0.07
home,body_material,1,0.07
home,heat_output,6,0.42
home,model_variant,1,0.07
home,Size,2,0.14
home,Color,1,0.07
home,Dimensions,5,0.35
home,Wheels,1,0.07
home,Tank Capacity,1,0.07
home,Burner Configuration,1,0.07
home,Additional Features,2,0.14
home,Included Components,1,0.07
home,Optional Components,1,0.07
home,Shipping,1,0.07
home,Price Guarantee,1,0.07
home,usage,11,0.77
home,construction,5,0.35
home,tank_capacity,1,0.07
home,tank_feature,1,0.07
home,approval,1,0.07
home,portability,1,0.07
home,category,9,0.63
home,supplier,5,0.35
home,product,2,0.14
home,backsplash_height,3,0.21
home,bin_depth,1,0.07
home,drain_size,1,0.07
home,Place Setting Capacity,1,0.07
home,Tub Material,1,0.07
home,Rack Material,1,0.07
home,Compliance,2,0.14
home,Hard Food Disposer,1,0.07
home,Noise Level,1,0.07
home,Wash Cycles,1,0.07
home,finish,5,0.35
home,region,2,0.14
home,Product Type,1,0.07
home,Manufacturer,1,0.07
home,Commercial - Residential,1,0.07
home,Efficiency,1,0.07
home,Features,4,0.28
home,Finish,2,0.14
home,Green,1,0.07
home,Height,1,0.07
home,Mount,1,0.07
home,tubMaterial,1,0.07
home,manufacturingLocation,1,0.07
home,manufacturingPlant,1,0.07
home,quantity,7,0.49
home,adhesive,2,0.14
home,thickness,8,0.56
home,recommended_age,1,0.07
home,exterior,1,0.07
home,wash_cycles,1,0.07
home,racks,1,0.07
home,place_settings,1,0.07
home,additional_features,2,0.14
home,age_range,1,0.07
home,use_case,1,0.07
home,design,3,0.21
home,mobility,1,0.07
home,waste_container_name,1,0.07
home,shape,5,0.35
home,height,4,0.28
home,diameter,2,0.14
home,upc_ean,1,0.07
home,dishwasher_safe,1,0.07
home,nsf_approved,1,0.07
home,maximum_stemware_diameter,1,0.07
home,compartment_height,1,0.07
home,number_of_compartments,1,0.07
home,rack_type,1,0.07
home,ideal_for,2,0.14
home,protection_features,1,0.07
home,length,4,0.28
home,sink_dimensions,1,0.07
home,sink_position,1,0.07
home,faucet_offset,1,0.07
home,urn_trough_dimensions,1,0.07
home,splash_drain_plate,1,0.07
home,counter_top_material,1,0.07
home,counter_top_edge,1,0.07
home,back_splash_dimensions,1,0.07
home,base_material,1,0.07
home,undershelves,1,0.07
home,legs_material,2,0.14
home,inside_stack_height,1,0.07
home,compartments,3,0.21
home,extenders,1,0.07
home,capacity_liters,2,0.14
home,description,2,0.14
home,shelf_size,1,0.07
home,weight_capacity,1,0.07
home,sections,1,0.07
home,door_material,1,0.07
home,door_handle,1,0.07
home,drawers,1,0.07
home,drawer_material,1,0.07
home,drawer_handles,1,0.07
home,interior_material,1,0.07
home,exterior_material,4,0.28
home,shelves,5,0.35
home,shelf_material,1,0.07
home,casters,4,0.28
home,refrigeration_system,1,0.07
home,horsepower,2,0.14
home,amperage,4,0.28
home,door_configuration,1,0.07
home,drawer_configuration,1,0.07
home,Table Length,1,0.07
home,Table Width,1,0.07
home,Top Gauge,1,0.07
home,Top Series,1,0.07
home,Legs Gauge,1,0.07
home,Legs Series,1,0.07
home,Splash Guard,1,0.07
home,purpose,1,0.07
home,deck,1,0.07
home,core_material,1,0.07
home,top_material,2,0.14
home,top_thickness,1,0.07
home,edge_material,1,0.07
home,edge_style,1,0.07
home,leg_material,2,0.14
home,leg_thickness,1,0.07
home,foot_caps,1,0.07
home,mechanism,1,0.07
home,Shape,2,0.14
home,Core Material,1,0.07
home,Top Material,2,0.14
home,Edge Finish,1,0.07
home,Leg Material,1,0.07
home,Foot Caps,1,0.07
home,Mechanism,1,0.07
home,retailer,10,0.70
home,mounting_type,1,0.07
home,front_to_back,1,0.07
home,drain_opening,2,0.14
home,trim_size,2,0.14
home,usage_notes,2,0.14
home,table_top_material,1,0.07
home,table_top_length,2,0.14
home,table_top_width,2,0.14
home,riser_height,2,0.14
home,undershelf_material,2,0.14
home,post_material,2,0.14
home,table_height,2,0.14
home,gauge,3,0.21
home,stainless_steel_type,2,0.14
home,assembly,2,0.14
home,product_description,1,0.07
home,ice_production,3,0.21
home,cooling_type,3,0.21
home,ice_style,3,0.21
home,cube_size,1,0.07
home,baskets,1,0.07
home,ignition,3,0.21
home,kettle_material,1,0.07
home,leg_height,1,0.07
home,load_type,1,0.07
home,duty,2,0.14
home,tube_dimensions,1,0.07
home,support_bars,1,0.07
home,tube_spacing,1,0.07
home,guaranty,1,0.07
home,product_category,2,0.14
home,number_of_doors,1,0.07
home,interior_lighting,1,0.07
home,exterior_finish,1,0.07
home,wall_and_ceiling_material,1,0.07
home,floor_material,1,0.07
home,refrigeration_mounting,1,0.07
home,country_of_manufacture,1,0.07
home,ice_production_capacity,1,0.07
home,storage_bin_capacity,1,0.07
home,condenser_type,2,0.14
home,cooling_system,1,0.07
home,ice_type,1,0.07
home,energy_rating,1,0.07
home,power_consumption,1,0.07
home,approvals,1,0.07
home,intended_use,2,0.14
home,custom_cabinet_door,1,0.07
home,condenser,1,0.07
home,storage_capacity,2,0.14
home,cabinet_door,1,0.07
home,frequency,1,0.07
home,phase,1,0.07
home,energy_consumption,1,0.07
home,operation,1,0.07
home,bin_material,1,0.07
home,antimicrobial_protection,1,0.07
home,refrigerant,1,0.07
home,compliance,1,0.07
home,ada_compliance,1,0.07
home,Ice Production,1,0.07
home,Storage Capacity,1,0.07
home,Operation,1,0.07
home,Bin Material,1,0.07
home,Exterior Material,1,0.07
home,Antimicrobial Protection,1,0.07
home,Refrigerant,1,0.07
home,Electrical Specifications,1,0.07
home,total_capacity,1,0.07
home,base_type,1,0.07
home,assembly_required,1,0.07
home,grates,1,0.07
home,griddle,4,0.28
home,controls,4,0.28
home,oven,2,0.14
home,oven_base,2,0.14
home,shelf,4,0.28
home,orientation,1,0.07
home,rim_type,1,0.07
home,crossrail_material,1,0.07
home,Splash Location,1,0.07
home,table_type,1,0.07
home,top_gauge,1,0.07
home,stainless_steel_series,1,0.07
home,top_width,1,0.07
home,top_length,1,0.07
home,crossrails_material,1,0.07
home,crossrails_position,1,0.07
home,feet_type,1,0.07
home,splash_position,1,0.07
home,grate_type,1,0.07
home,Orientation,1,0.07
home,Backsplash Height,1,0.07
home,Length,1,0.07
home,table_top_type,1,0.07
home,products,3,0.21
home,product_offers,4,0.28
home,caster_diameter,1,0.07
home,stem_thread_size,1,0.07
home,load_capacity_per_wheel,1,0.07
home,wheel_material,1,0.07
home,product_line,2,0.14
home,ply,4,0.28
home,quantity_per_carton,8,0.56
home,applications,1,0.07
home,germ_reduction,1,0.07
home,product_code,2,0.14
home,container_size,1,0.07
home,formula_type,2,0.14
home,cleaning_temperature,1,0.07
home,applicable_surfaces,1,0.07
home,unsuitable_surfaces,1,0.07
home,application,4,0.28
home,applicable_materials,1,0.07
home,dirt_types,1,0.07
home,scent,2,0.14
home,safety_data_sheet_available,2,0.14
home,volume,1,0.07
home,caution,1,0.07
home,variant,1,0.07
home,seller,3,0.21
home,disinfectant_type,1,0.07
home,effectiveness,3,0.21
home,properties,1,0.07
home,additional_benefits,1,0.07
home,form,1,0.07
home,surface_type,1,0.07
home,shipping_restrictions,1,0.07
home,alternate_item_numbers,5,0.35
home,shelf_count,1,0.07
home,shelf_adjustability,1,0.07
home,alignment,1,0.07
home,vendor,1,0.07
home,mat_type,1,0.07
home,style,1,0.07
home,discount_exclusion,1,0.07
home,sales_contact,1,0.07
home,inner_packaging,1,0.07
home,quantity_per_package,1,0.07
home,packaging,1,0.07
home,target_surfaces,1,0.07
home,base,2,0.14
home,pressure_regulator,2,0.14
home,gas_connections,2,0.14
home,total_BTU,4,0.28
home,hot_tops,1,0.07
home,collection,2,0.14
home,manifold,1,0.07
home,backing_material,1,0.07
home,compatible_mats,1,0.07
home,Backsplash,1,0.07
home,Undershelf,1,0.07
home,pieces,1,0.07
home,includes,1,0.07
home,lid_material,1,0.07
home,lid_features,1,0.07
home,suitable_for,1,0.07
home,page,1,0.07
home,packing_type,1,0.07
home,number_of_plies,1,0.07
home,roll_diameter,1,0.07
home,roll_size,1,0.07
home,sheet_size,1,0.07
home,quantity_per_box,2,0.14
home,boxes_per_carton,2,0.14
home,closure_type,2,0.14
home,pack_type,1,0.07
home,grade,1,0.07
jewelry,product_title,101,11.03
jewelry,retailer,94,10.26
jewelry,brand,102,11.14
jewelry,collection,26,2.84
jewelry,material,73,7.97
jewelry,category,59,6.44
jewelry,target_audience,26,2.84
jewelry,quality,7,0.76
jewelry,retailer_status,3,0.33
jewelry,subcategory,11,1.20
jewelry,style,40,4.37
jewelry,stone,11,1.20
jewelry,intended_use,6,0.66
jewelry,retailer_history,8,0.87
jewelry,product_id,7,0.76
jewelry,fit,17,1.86
jewelry,model_number,33,3.60
jewelry,sub_category,3,0.33
jewelry,gender,7,0.76
jewelry,dealer,7,0.76
jewelry,location,38,4.15
jewelry,product_category,11,1.20
jewelry,model,32,3.49
jewelry,type,15,1.64
jewelry,product_type,30,3.28
jewelry,target_gender,12,1.31
jewelry,retailer_location,4,0.44
jewelry,retailer_specialty,1,0.11
jewelry,retailer_type,1,0.11
jewelry,unique_identifier,2,0.22
jewelry,product_code,5,0.55
jewelry,features,10,1.09
jewelry,matching_model,2,0.22
jewelry,feature,4,0.44
jewelry,purpose,1,0.11
jewelry,material_options,9,0.98
jewelry,width,7,0.76
jewelry,authorized_dealer,5,0.55
jewelry,design,5,0.55
jewelry,established,8,0.87
jewelry,heritage,3,0.33
jewelry,available_materials,2,0.22
jewelry,available_finishes,1,0.11
jewelry,primary_material,1,0.11
jewelry,authorized_retailer,2,0.22
jewelry,color_options,3,0.33
jewelry,product_name,1,0.11
jewelry,significance,1,0.11
jewelry,contact,2,0.22
jewelry,stones,3,0.33
jewelry,description,1,0.11
jewelry,edge_style,1,0.11
jewelry,finish_options,1,0.11
jewelry,contact_info,3,0.33
jewelry,edges,3,0.33
jewelry,retailer_contact,2,0.22
jewelry,options,1,0.11
jewelry,Product Title,1,0.11
jewelry,Brand,1,0.11
jewelry,Model,1,0.11
jewelry,Category,1,0.11
jewelry,Style,1,0.11
jewelry,Cut,1,0.11
jewelry,Material,1,0.11
jewelry,Band Style,1,0.11
jewelry,Center Stone,1,0.11
jewelry,stone_shape,2,0.22
jewelry,setting_type,1,0.11
jewelry,center_stone,1,0.11
jewelry,distributor,3,0.33
jewelry,authenticity,1,0.11
jewelry,attributes,1,0.11
jewelry,specialty,3,0.33
jewelry,symbolism,1,0.11
jewelry,finish,2,0.22
jewelry,establishment_year,1,0.11
jewelry,retailer_background,1,0.11
jewelry,diamond_cut,1,0.11
jewelry,band_type,2,0.22
jewelry,cut,1,0.11
jewelry,fit_type,1,0.11
jewelry,occasion,2,0.22
jewelry,designer,1,0.11
jewelry,contact_methods,1,0.11
jewelry,specialization,1,0.11
jewelry,diamond_weight,1,0.11
jewelry,setting,1,0.11
jewelry,stone_cut,1,0.11
jewelry,stone_setting,1,0.11
jewelry,shop,1,0.11
jewelry,design_features,1,0.11
office,brand,144,8.35
office,type,47,2.72
office,color,111,6.43
office,yield,10,0.58
office,compatibility,44,2.55
office,quality,4,0.23
office,features,86,4.99
office,quality_assurance,1,0.06
office,model,53,3.07
office,original,1,0.06
office,capacity,12,0.70
office,part_number,7,0.41
office,Brand,8,0.46
office,Type,2,0.12
office,Color,7,0.41
office,Compatibility,1,0.06
office,Page Yield,1,0.06
office,Part Number,1,0.06
office,OEM Status,1,0.06
office,Capacity,3,0.17
office,product_title,144,8.35
office,cartridge_program,1,0.06
office,return_methods,2,0.12
office,collection_partnerships,2,0.12
office,consumer_cost,2,0.12
office,return_instructions,2,0.12
office,return_locations,2,0.12
office,condition,3,0.17
office,program,2,0.12
office,warranty,5,0.29
office,quality_standards,3,0.17
office,retailer,46,2.67
office,genuine,1,0.06
office,page_yield,6,0.35
office,standards_compliance,1,0.06
office,intended_use,18,1.04
office,return_program,1,0.06
office,product_code,4,0.23
office,compatible_printers,1,0.06
office,OEM,1,0.06
office,pageYield,3,0.17
office,category,18,1.04
office,product_type,3,0.17
office,material,40,2.32
office,size,42,2.43
office,quantity_per_package,3,0.17
office,package_type,1,0.06
office,use_case,3,0.17
office,model_number,71,4.12
office,back_side_material,1,0.06
office,dimensions,30,1.74
office,usage,8,0.46
office,colors_included,1,0.06
office,quantity_per_carton,3,0.17
office,header_sold_separately,1,0.06
office,header_model_number,1,0.06
office,alternate_item_numbers,44,2.55
office,UPC,53,3.07
office,sheet_size,11,0.64
office,sheet_color,3,0.17
office,number_of_pads,1,0.06
office,sheets_per_pad,4,0.23
office,paper_weight,7,0.41
office,ruling,13,0.75
office,pad_type,2,0.12
office,number_of_sheets_per_pad,1,0.06
office,sheet_perforation,1,0.06
office,origin,1,0.06
office,sheet_dimensions,1,0.06
office,overall_width_at_base,1,0.06
office,overall_depth_at_base,1,0.06
office,overall_product_weight,1,0.06
office,page,2,0.12
office,attributes,18,1.04
office,pads_per_pack,1,0.06
office,recycled_content,5,0.29
office,cube,2,0.12
office,upc,8,0.46
office,inner_packaging,19,1.10
office,Product,4,0.23
office,warranty_consideration,1,0.06
office,seller,2,0.12
office,card_size,5,0.29
office,included_items,2,0.12
office,quantity,19,1.10
office,purpose,2,0.12
office,product_category,3,0.17
office,paper_type,5,0.29
office,sheet_count,10,0.58
office,pack_count,3,0.17
office,weight,11,0.64
office,rule,1,0.06
office,hole_punch,2,0.12
office,product_name,10,0.58
office,hole_punched,4,0.23
office,durability,6,0.35
office,sheets_per_pack,2,0.12
office,hole_count,2,0.12
office,handle_type,1,0.06
office,cleaning_method,1,0.06
office,surface_type,1,0.06
office,quantity_per_box,6,0.35
office,use_cases,2,0.12
office,boxes_per_carton,1,0.06
office,benefits,2,0.12
office,health_benefits,1,0.06
office,quantity_per_pack,9,0.52
office,flap_type,1,0.06
office,ink_color,5,0.29
office,tip_size,2,0.12
office,pack_size,3,0.17
office,target_users,1,0.06
office,grip,1,0.06
office,certification,1,0.06
office,refillable,2,0.12
office,point_size,2,0.12
office,related_products,1,0.06
office,distributor,3,0.17
office,point_type,1,0.06
office,pen_type,1,0.06
office,series,3,0.17
office,ink_type,4,0.23
office,ink_properties,1,0.06
office,ink_security_features,1,0.06
office,ink_flow_system,1,0.06
office,refill_type,1,0.06
office,travel_friendly,1,0.06
office,ink_supply_visibility,1,0.06
office,tip_type,1,0.06
office,writing_feel,1,0.06
office,line_type,1,0.06
office,line_properties,1,0.06
office,ideal_for,2,0.12
office,Product Title,7,0.41
office,Category,3,0.17
office,Pad Type,2,0.12
office,Sheet Size,3,0.17
office,Ruling,3,0.17
office,Number of Sheets,3,0.17
office,Cover Material,3,0.17
office,Binding,2,0.12
office,Special Feature,1,0.06
office,Model Number,5,0.29
office,Binding Type,1,0.06
office,Special Features,2,0.12
office,rule_type,3,0.17
office,cover_type,3,0.17
office,binding_type,2,0.12
office,protection,1,0.06
office,year,5,0.29
office,page_color_theme,2,0.12
office,appointment_ruling,2,0.12
office,contents,1,0.06
office,tab_titles,1,0.06
office,tab_count,2,0.12
office,tab_type,2,0.12
office,packaging,9,0.52
office,tab_reinforcement,1,0.06
office,orientation,2,0.12
office,template_availability,1,0.06
office,table_of_content_sheets,1,0.06
office,tab_color,1,0.06
office,set_includes,1,0.06
office,customizable,1,0.06
office,tab_orientation,1,0.06
office,content_sheets,1,0.06
office,templates_available,1,0.06
office,template_cost,1,0.06
office,printer_compatibility,2,0.12
office,oem_performance,1,0.06
office,function,3,0.17
office,replacement_benefit,1,0.06
office,global_product_type,1,0.06
office,supply_type,1,0.06
office,compatible_series,1,0.06
office,performance,1,0.06
office,maintenance,1,0.06
office,tape_width,1,0.06
office,tape_length,1,0.06
office,core_size,2,0.12
office,width,1,0.06
office,length,2,0.12
office,thickness,3,0.17
office,paper_color,3,0.17
office,sheets_per_unit,1,0.06
office,item_type,1,0.06
office,document_size,1,0.06
office,Product Name,1,0.06
office,Refillable,1,0.06
office,Tape Width,1,0.06
office,Tape Length,1,0.06
office,Features,2,0.12
office,Retailer,1,0.06
office,index_type,1,0.06
office,refill_model,1,0.06
office,source,3,0.17
office,supplyType,1,0.06
office,standards,1,0.06
office,securityFeatures,1,0.06
office,recycledContent,1,0.06
office,finish,1,0.06
office,construction,2,0.12
office,drawer_slides,1,0.06
office,handles,1,0.06
office,locking_drawers,1,0.06
office,filing_capacity,1,0.06
office,mounting_type,2,0.12
office,shipping_restriction,1,0.06
office,Rule Type,1,0.06
office,Paper Brightness,1,0.06
office,Paper Type,1,0.06
office,number_of_sheets,2,0.12
office,paper_brightness,2,0.12
office,covers,1,0.06
office,vendor,2,0.12
office,cover_color,1,0.06
office,binding,4,0.23
office,dosage,1,0.06
office,tablets_per_packet,1,0.06
office,packets_per_box,1,0.06
office,return_policy,1,0.06
office,customization,1,0.06
office,acid_free,1,0.06
office,matching_envelopes,1,0.06
office,laser_class,2,0.12
office,projection_distance,1,0.06
office,construction_material,1,0.06
office,laser_color,1,0.06
office,visibility,1,0.06
office,range,1,0.06
office,alternate_item_number,3,0.17
office,lock_type,2,0.12
office,storage_capacity,1,0.06
office,sheets_included,1,0.06
office,environmental_commitment,1,0.06
office,environmental_consideration,1,0.06
office,sheet_type,1,0.06
office,base_color,1,0.06
office,exclusions,2,0.12
office,sales_contact,1,0.06
office,holder_color,1,0.06
office,made_in,1,0.06
office,environmental_certifications,1,0.06
office,target_audience,1,0.06
office,additional_products,1,0.06
office,company_commitment,1,0.06
office,included_accessories,2,0.12
office,drawer_features,1,0.06
office,card_capacity,1,0.06
office,compatible_card_sizes,1,0.06
office,shipping_weight,1,0.06
office,productID,1,0.06
office,manufacturer,2,0.12
office,productGroup,1,0.06
office,productName,2,0.12
office,productWeight,1,0.06
office,shippingMethod,1,0.06
office,soldAs,1,0.06
office,approximateCount,1,0.06
office,Dimensions,1,0.06
office,Stamp Type,1,0.06
office,Message,1,0.06
office,Ink Type,1,0.06
office,Grip Type,1,0.06
office,Lid Type,1,0.06
office,Durability,1,0.06
office,Alternate Item Numbers,3,0.17
office,cut,1,0.06
office,ply,1,0.06
office,tab,1,0.06
office,Cut Type,1,0.06
office,Ply,1,0.06
office,Tab Position,1,0.06
office,Quantity per Box,1,0.06
office,Supplier,1,0.06
office,Size,2,0.12
office,Tab Position Detail,1,0.06
office,Material,2,0.12
office,Stock Thickness,1,0.06
office,Recycled Content,1,0.06
office,carton_quantity,1,0.06
office,frame_color,2,0.12
office,frame_details,1,0.06
office,additional_information,1,0.06
office,frame_material,1,0.06
office,surface_material,1,0.06
office,surface_features,1,0.06
office,mounting_system,1,0.06
office,installation_features,2,0.12
office,additional_features,1,0.06
office,availability,1,0.06
office,Function,1,0.06
office,Usage,1,0.06
office,surface_color,1,0.06
office,cleaning_recommendation,1,0.06
office,installation,3,0.17
office,compatible_machines,1,0.06
office,support_contact,1,0.06
office,subcategory,2,0.12
office,pocket_type,1,0.06
office,format,2,0.12
office,cards_per_row,1,0.06
office,special_features,1,0.06
office,Cover,1,0.06
office,Page Size,1,0.06
office,Columns,1,0.06
office,Lines per Page,1,0.06
office,Paper Color,1,0.06
office,Sheets per Book,1,0.06
office,Inner Packaging,1,0.06
office,connection,1,0.06
office,connection_type,1,0.06
office,interface,1,0.06
office,style,1,0.06
office,design_features,2,0.12
office,weight_capacity,1,0.06
office,keyboard_tray_dimensions,1,0.06
office,swivel,1,0.06
office,arm_type,1,0.06
office,adjustment_features,1,0.06
office,wrist_support,1,0.06
office,mounting_track,1,0.06
office,paper_content,1,0.06
office,noise_reduction_rating,2,0.12
office,recommended_use,1,0.06
office,foam_type,1,0.06
office,suitable_for,1,0.06
office,pack_quantity,1,0.06
office,extension_length,1,0.06
office,colors,1,0.06
office,color_description,1,0.06
office,tab_title,2,0.12
office,type_style,1,0.06
office,sheet_capacity,3,0.17
office,operating_method,1,0.06
office,number_of_holes,1,0.06
office,hole_diameter,1,0.06
office,base_dimensions,1,0.06
office,cut_length,1,0.06
office,blade_material,2,0.12
office,blade_feature,2,0.12
office,base_thickness,1,0.06
office,base_material,2,0.12
office,base_feature,1,0.06
office,safety_features,1,0.06
office,alignment_features,1,0.06
office,base_guarantee,1,0.06
office,cutting_capacity,1,0.06
office,safety_feature,1,0.06
office,additional_feature,1,0.06
office,theme,1,0.06
office,surface,1,0.06
office,marker_included,1,0.06
office,calendar_term,1,0.06
office,brightness,2,0.12
office,modelNumber,1,0.06
office,technology,2,0.12
office,suitability,2,0.12
office,sheetsPerPackage,1,0.06
office,alternateItemNumbers,1,0.06
office,surface_characteristics,1,0.06
office,sustainability,1,0.06
office,clip_capacity,1,0.06
office,assembly,1,0.06
office,paper_capacity,1,0.06
office,set_quantity,1,0.06
office,ruling_direction,2,0.12
office,recyclable,2,0.12
office,set,1,0.06
office,punched,1,0.06
office,ruled_sides,1,0.06
office,squares_per_inch,1,0.06
office,sizes,1,0.06
office,note,1,0.06
office,loading_type,1,0.06
office,insert_sheet_size,1,0.06
office,insert_sheet_feature,1,0.06
office,supplier,1,0.06
office,insert_type,1,0.06
office,loading_style,1,0.06
office,design_tool,1,0.06
