category,cluster_id,Product Type,Brand,Color(s),Manufacturer Stock Number,Pack Quantity,Material,Width,Height,Length,Depth,Paper Weight,Retail UPC
Office Products,10057318,Board and Presentation Materials,Quartet,White,QRTP563T,n/a,aluminum,91.4,61.0,n/a,n/a,n/a,034138563205
Office Products,2356453,Office Furniture and Ergonomic Products,Fellowes,Black,FEL93730,n/a,gel,25.4,3.8,n/a,30.5,n/a,077511937309
Office Products,11497161,Stationery and Desk Accessories,Kensington,Black,KMW72355,n/a,n/a,n/a,n/a,n/a,n/a,n/a,085896723554
Office Products,3217240,"Shipping and Packaging, Envelopes",Sealed Air,Brown,SEL39095,100 per carton,kraft,22.9,35.6,n/a,n/a,n/a,040036390959
Office Products,2049885,Writing/Erasing Instruments and Accessories,Quartet,Blue,QRT52180132,n/a,foam,30.5,7.6,n/a,5.1,n/a,026426180133
Office Products,8361276,Office Furniture and Ergonomic Products,House of Doolittle,White,HOD40003,50 sheets,paper,55.9,n/a,n/a,43.2,n/a,040983400039
Office Products,12699833,Miscellaneous,3M,Yellow,MMM3101101,200 pairs,foam,n/a,n/a,n/a,n/a,n/a,080529100511
Office Products,9717651,Stationery and Desk Accessories,Cord Away,Black,MAS00204,6 per pack,n/a,n/a,n/a,n/a,n/a,n/a,034238002048
Office Products,10078146,Stationery and Desk Accessories,Lee,Black,LEE40100,One 100 Count Roll,plastic,5.1,4.3,n/a,n/a,n/a,084417401001
Office Products,7144174,Miscellaneous,Aleve,n/a,LIL51030,30 per box,n/a,n/a,n/a,n/a,n/a,n/a,366715510303
Office Products,13562545,Stationery and Desk Accessories,Franklincovey,n/a,FDP22997,n/a,metal,n/a,n/a,n/a,n/a,n/a,733065229979
Office Products,15542672,Paper Products,TOPS,White,TOP35101,50 sheets,n/a,20.3,27.9,n/a,n/a,9.1,025932351013
Office Products,12462033,Office Furniture and Ergonomic Products,Kelly Computer Supply,Black,KCS69505,1 per pack,phenolic,71.1,n/a,n/a,25.4,n/a,762984695053
Office Products,581205,Board and Presentation Materials,Pacon,Assorted/Others,PAC37654,4 per carton,kraft,121.9,91.4,n/a,n/a,n/a,045173376545
Office Products,11830776,"Printing, Copying, Laminating",Universal,No Color/Transparent,UNV84650,25 per pack,plastic,7.6,5.1,8.6,n/a,n/a,087547846506
Office Products,4893852,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Cardinal,No Color/Transparent,CRD84010,5 per pack,poly,24.4,29.0,n/a,n/a,0.2,083086840104
Office Products,9010868,Stationery and Desk Accessories,Universal,Red,UNV10048,n/a,n/a,n/a,n/a,n/a,n/a,n/a,087547100486
Office Products,8613810,Stationery and Desk Accessories,Universal,Beige,UNV00119,1.240 per 1 lb. pack,rubber,0.2,n/a,8.9,n/a,n/a,087547001196
Office Products,2462414,Office Furniture and Ergonomic Products,Fellowes,Black,FEL98741,n/a,lycra,15.9,2.9,n/a,25.7,n/a,077511987410
Office Products,13881372,"Time, Planning and Organization",AT-A-GLANCE,Assorted/Others,AAGPA133,n/a,n/a,61.0,91.4,n/a,n/a,n/a,038576260375
Office Products,15763817,Stickers and Badges,Avery,White,AVE74549,100 per box,n/a,8.9,5.7,n/a,n/a,n/a,077711745490
Office Products,3567006,"Time, Planning and Organization",AT-A-GLANCE,White,AAGE51750,n/a,paper,7.6,15.2,n/a,n/a,n/a,038576247574
Office Products,8171230,Writing/Erasing Instruments and Accessories,BIC,No Color/Transparent,BICWOTAPP418,4 per pack,film-based,0.4,n/a,1016.0,n/a,n/a,070330505896
Office Products,14537690,Office Furniture and Ergonomic Products,Bush,Black,BSHAC99850,n/a,metal,n/a,n/a,n/a,n/a,n/a,042976998509
Office Products,4725953,Paper Products,HP,White,HEWK6B83A,25 sheets,paper,10.2,12.7,n/a,n/a,n/a,888793807224
Office Products,14718286,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Saunders,Blue,SAU00439,n/a,nickel-plated steel,n/a,n/a,n/a,n/a,n/a,044357004397
Office Products,12839121,Stickers and Badges,Advantus,Assorted/Others,AVT75464,4 per pack,n/a,n/a,n/a,76.2,n/a,n/a,091141754648
Office Products,11015590,Paper Products,Universal,White,UNV63135,"4,000 per carton",n/a,7.6,12.7,n/a,n/a,n/a,087547631355
Office Products,13795047,Stationery and Desk Accessories,Premier,Gray and Metallic,PREP215X,10 sheets,plastic,31.1,n/a,n/a,43.8,n/a,011991011500
Office Products,8600647,Office Furniture and Ergonomic Products,Tennsco,Gray and Metallic,TNNCF846LGY,n/a,steel,38.1,132.1,n/a,67.9,n/a,044767110171
Office Products,9883689,Paper Products,Universal,Pink,UNV35853,50 sheets,paper,12.7,20.3,n/a,n/a,n/a,087547358535
