Attribute,Cluster (Small),Cluster (Large)
wheel features,0,7
fragrance,3,6
alternate item #s,7,4
lid type,2,7
installs,3,0
blade size,1,5
measurements,1,5
bundle includes,7,8
extra feature,7,8
installation type,2,1
additional information,7,8
size (overall),1,5
amount per pack,5,2
number of levels/tiers,5,2
moisture absorbency,9,0
table top width range,1,5
engraved,3,7
griddle thickness,1,5
reviewed by,3,0
handle_type,2,1
leg features,0,7
alternate title,7,6
preheat time,8,9
weight (lb),1,5
dispenser dimensions,1,5
insert size,1,5
tilt adjustment,0,7
functions,3,6
casters type,2,1
size (inches),1,5
adjustment type,2,1
warmer,8,9
punching,3,7
product dimensions,4,4
top features,7,8
product code,4,4
extenders included,7,8
acceptable settings,7,0
source material,6,3
ice production,8,9
product_features,4,4
alternate item ids,7,4
suitability,7,0
alternate identifiers,7,0
store,3,6
table of content sheets color,9,7
coverage,3,6
installation,3,6
storage features,7,8
drawer count,5,7
paper color,9,0
tab features,0,7
ean,3,6
sections,3,6
cooking completion indicator,8,9
product_title,4,4
locking mechanism,0,7
product color,4,4
refrigeration system power,8,9
body,3,6
disposer type,2,1
ink flow system,8,0
product sub-category,4,4
crossrails location,0,7
industry_standard,3,4
base dimension,1,5
number of oven racks,5,2
ct,3,6
indicator light,9,9
paper_size,1,5
manufacturer,3,6
floor material,6,3
page layout,0,7
base thickness,1,5
place setting capacity,5,2
condition,3,6
appearance,3,6
front manifold size,1,5
amperage,9,9
cards per carton,5,2
surface,0,6
mount type,2,1
material compatibility,6,0
brand,3,6
sides material,6,3
indexing system,7,0
spigot,0,7
overall product weight,4,2
case pack,5,2
tape features,0,7
caster configuration,8,7
oven interior material,6,3
approximate band count per pack,5,2
direction,3,6
seam type,2,1
backing,0,7
interior lighting,0,7
custom cabinet door,0,7
profile,3,6
number of posts,5,2
condenser type,2,1
electrical specs,9,9
temperature tolerance range,8,9
front-to-back measurement,1,5
standard grates,0,7
dimensions (w x d x h),1,5
backing material,6,3
controls,3,6
efficacy against,9,0
connection,3,6
motor characteristic,3,9
additional features,7,8
energy_rating,8,9
drain feature,0,8
power save,9,0
message on stamp,9,0
cut position,0,7
customization availability,7,0
line type,2,1
boxes per case,5,2
product_style,4,4
pricing basis,3,4
family generation,3,6
dimensions (l x w x h),1,5
separation support,0,7
power source,3,9
material (top),6,3
hot tops,8,7
accessories included,7,8
writable,9,0
adjustable legs,0,7
carafe,0,6
product sale,4,4
material - legs,6,3
back splash,0,7
also available in,7,0
power output,9,9
gold karat (available in),9,0
table material,6,3
no__of_sheets,5,2
material series,6,3
imaging device type,2,1
metal color,6,3
jewelry type,2,1
support_bars,0,7
tray material,6,3
exterior trim color,0,7
stem type,2,1
program,3,6
product_attributes,4,4
formula type,2,1
includes,7,6
sidedness,0,7
retail_upc,4,4
production rate,9,9
cord,3,6
product1,4,4
alternate material options,6,3
closure type,2,7
top doors,0,7
orientation,3,6
cooking surface dimensions,1,5
number of drawers,5,2
special_feature,7,8
marker included,7,0
drain diameter,1,5
exterior color (refrigerated bottom),8,9
usage,3,6
design feature,0,8
capacity per shelf,5,2
construction type,2,1
dividers,0,7
free customization,7,0
transportable,7,0
refrigeration system,8,9
retail_UPC,4,4
printer brand,9,0
sink dimensions,1,5
sheet count,5,2
cover features,7,8
printing compatibility,9,0
wheel capacity,1,5
corner shape,0,7
lock type,2,1
manufacturer's location,3,4
design_profile,0,7
dispenser type,2,1
stage cooking,8,9
staining resistance,9,0
shipping_weight,5,4
producttitle,4,4
ingredient,3,6
pouches per pack,5,2
360° swivel,0,7
pilot,3,6
grade,3,6
product_name,4,4
foot caps,0,7
deck size,1,7
mounting track length,1,5
paper type,2,1
cutting capacity (sheets at once),5,2
riser,0,7
material_legs,0,3
number of cards,5,2
ink surface,0,0
compatible machines,7,0
grate_details,0,7
gas system,8,9
environment friendly,9,0
compatible page size,1,5
base stability features,0,8
coffee bean type,2,1
contains,3,6
tab material,6,7
details,3,6
dispensing method,5,0
shop,3,6
country of origin,3,4
product duty,4,4
frame design,0,7
overall dimensions,1,5
fuel,8,6
pocket capacity,5,2
power type,2,1
vendor,3,6
leg_details,0,7
dispenser,3,0
wrist support material,6,3
follower blocks per drawer,5,7
product2,4,4
size/weight,1,5
alternate item,7,4
packing type,5,1
intended use,7,0
units per box,5,2
power,3,6
edges,0,7
texture,3,6
carton_quantity,5,2
useable on,7,0
number of sheets per pad,5,2
cut,3,6
ruled,3,6
drain plate for urn trough,0,7
energy output,8,9
other available materials,6,3
operating temperature,8,9
toner cartridge model,9,0
product line code,4,4
thermostat range,8,9
supplier website,4,4
number of adjustable shelves,5,2
iceproduction,8,9
suitable for,7,0
alternative_item,7,4
effectiveness,9,0
well,3,6
included roll count,5,2
shelf count,5,2
health recognition,9,0
current,3,6
thermostat type,8,1
ink_type,2,1
range_type,2,1
legs gauge,1,7
adhesive type,2,1
finish,3,6
included feature,7,8
adhesive,9,0
product load capacity,4,2
board color,9,7
sales_team_contact,3,4
electrical specifications,9,9
dietary restrictions,9,0
commercial or residential,3,0
mat_type,2,1
eco-friendly content,9,0
established year,3,6
wrist rest benefit,0,7
shipping weight,1,2
product_special_size,1,4
safety feature,7,8
suitable surfaces,0,3
category,3,6
resistance,9,6
ends material,6,7
gas connection location,8,9
cleaning,9,0
standing,3,6
mouse pad tracking control,0,0
btu per hot top,8,9
additional storage,7,8
base material durability,6,3
metal type,2,1
holes,3,6
output quality,9,0
comfort feature,7,8
origin/style,3,6
undershelf adjustability,0,7
model,3,6
griddle location,8,9
drawer material,6,7
backsplashsize,1,5
material reinforcement,6,0
index divider color,0,7
product features,4,8
refrigeration power,8,9
brewing pause feature,8,8
mounting,0,7
sides closed,0,7
technology,3,6
bowl depth,1,5
legs,3,6
doors,0,6
card dimensions,5,5
functionality,7,8
rolled front & side rims,0,7
compatible_device,7,0
blade material,6,7
convenience,3,6
ruling style,3,7
ink color(s),9,0
chopper type,2,1
series,3,6
quality test,9,0
special section(s),7,7
can be used on,7,0
refillable,9,0
table gauge,0,7
gold purity (where applicable),9,0
base protection,0,0
holder,3,6
max. dia.,1,5
table legs,0,7
stone carat,3,7
package_function,7,6
alternate item codes,7,4
brewing process,8,9
wrist rest mechanism,0,7
assembly requirement,7,7
base bottom,0,7
identification card reel type,2,1
removable filter basket,0,0
extension length,1,5
back material,6,3
burner_count,8,9
flap type,2,1
water usage,9,9
latch material,6,3
coffee type,9,1
sheet size compatibility,1,5
lid material,6,7
elasticity,9,6
ada compliance,7,0
tab title,0,7
serve,3,6
coffee quality,9,0
wall material,6,3
control rating,3,9
wheel size,1,5
assembly information,7,7
laser class,9,0
refrigeration system location,8,9
software availability,7,0
griddle position,8,9
additional_features,7,8
hp,9,6
no. of burners,8,9
adjustment,3,6
rule type,2,1
size (length x width x height),1,5
product variant,4,4
authentication,3,6
unit,3,6
grid measurement,1,7
product_id,4,4
container size,1,5
audible alert,3,0
cookie_type,2,1
ink_function,9,7
legmaterial,6,3
usage note,7,0
travel-friendly,7,0
use case,3,6
special_package_materials,6,3
convection dimensions (wxdxh),1,5
seller/warehouse,3,4
table width,1,7
rubber band thickness,1,5
additional items,7,8
products,4,4
griddle area dimensions,1,5
cup volume,5,5
match,3,6
thickness,1,5
product feature,4,8
base dimensions,1,5
burner/hot top btu,8,9
breaking strength,9,7
edge,0,7
maximum diameter per compartment,1,5
has drain opening,0,7
content sheet included,7,7
binding type,2,1
have brake,0,7
refrigeration power (hp),8,9
sheet count per pack,5,2
location of use,7,0
drain opening,0,7
acid free,9,0
header,0,6
product sku,4,4
pilot_type,2,1
cord length,1,5
paper material,6,3
ignition type,8,9
assembly,3,6
included items,7,8
front and top material,6,3
temperature_control_range,8,9
surface durability,9,3
greaseless bearings,9,7
product_2,4,4
seam width,1,5
product sections,4,4
product_design,4,4
ring cut,0,7
ruling,3,6
surface material,6,3
core size,1,7
otheravailablematerials,6,3
oven dimensions (wxd),1,5
authenticity,9,6
band details,0,7
compatible_with,7,0
nonslip base,0,7
other_applied_container,7,7
thermostat,8,9
commitment,3,6
bake_set_components,8,7
device types,2,1
valve control,0,9
legs material,6,7
acceptable in,7,0
stone_shape,0,7
inside stack height,1,5
lead time,3,7
reinforced tabs and ring edges,0,7
cooking grid material,6,3
weight characteristic,1,7
dishwasher_safe,8,0
extra purchase requirement,7,4
sanitation approvals,9,0
flue riser features,8,8
burner configuration,8,9
fiber content,6,3
return method,3,6
ice production (approximate),8,9
connection type,2,1
feature,3,8
supported card sizes,1,5
pad_material,6,7
cartridge_color,9,0
top thickness (riser),1,5
extenders,7,7
dealer name,3,4
oven count,5,9
punched,3,7
included,7,6
additional property,7,8
social responsibility,3,0
recommended_by,7,0
back guard,0,7
maximum glass height,1,5
sheets per tablet,5,2
max diameter per compartment,1,5
dovetail quantity,5,2
edge banding,0,7
environmental certification,9,0
backsplash location,0,7
leg size,1,5
equipment needed,7,0
holder type,2,1
number of burners/hot tops,8,9
target_occasion,3,6
number of doors,5,2
antimicrobial protection,9,0
number of sets,5,2
settings,3,6
cross section,0,7
tab cut,0,7
grip material,6,3
year founded,3,6
seasonal theme,3,6
founded year,3,6
size compatibility,1,5
product cleaner type,4,1
pricing,3,6
gas connections,8,9
tip_size,1,7
handles,3,6
latex content,9,7
recommended use,7,0
griddle controls,8,9
mobility,3,6
application_type,2,1
visibility of tape supply,0,0
not freestanding,0,7
construction method,0,7
ovens,8,9
supplier/seller,3,4
color,9,6
handling,3,6
purpose,3,6
number of extenders,5,2
cleancycle auto-flush,9,0
griddle material,6,3
dimensions (lxwxh),1,5
radiants,8,9
carry handle,0,7
product_group,4,4
temperature resistance,8,9
product dimension,4,4
sink specifications,1,5
package,3,6
stones_type,2,1
energy efficiency feature,9,8
compatible printer models,9,0
hoses,3,9
coating,9,0
number of baskets,5,2
volume,5,6
letter height,1,5
burner count,8,9
iso quality standard,9,0
door,3,6
fit style,0,7
noise level,9,9
deck,0,6
mobility features,7,8
band type,2,1
door features,0,8
band setting,3,7
description type,2,1
construction material,6,3
tape type,2,1
number of subjects,5,2
base material warping resistance,6,3
eraser_type,2,1
packing,3,6
alternate item numbers,7,4
support contact,3,0
paper_function,9,7
recycled_content,9,0
shop establishment year,3,4
beverage sleeves need,0,0
edge type (front),0,7
voltage,3,9
backsplash style,0,7
griddle presence,8,9
front&siderims,0,7
ignitor,8,9
watt,8,9
sheet_size,1,5
standard,3,6
product brand,4,4
application,3,6
size (length x width),1,5
number_of_baskets,5,2
packing_type,2,1
available from,7,0
beveragetype,2,1
freezer features,8,8
material of shelf plates,6,3
load_type,2,1
established_by,3,6
bottle racks,0,7
caster diameter,1,5
rubber pad thickness,1,5
ease of use,9,0
characteristics,3,8
cup size,1,5
usage type,2,1
market,3,6
die-cuts,0,7
authorized,3,6
holder features,7,8
maker type,2,1
table top length,1,5
model_number,3,4
applications,7,6
punched holes,0,7
oven features,8,9
facility,3,6
set includes,7,7
brake,0,6
approval_types,7,1
seller/website,3,4
paper capacity,5,2
surfaces,0,7
founders,3,6
gold color (available),9,0
sodium content,9,0
tube spacing,1,5
griddle,8,9
source_region,3,7
artificial content,9,0
description,3,6
look,3,6
included extras,7,8
cholesterol content,9,0
daily_ice_production,8,9
notable features,7,8
recommended,7,0
drawer construction,0,7
outer dimensions,7,5
special cycle,7,7
setup,3,6
table edge,0,7
burner/control interval,8,9
additional accessories,7,8
layout,3,6
tab titles,0,7
oem,3,4
vat capacity (lbs),5,2
rear,0,6
supply_type,2,1
flue riser size,1,5
performance,3,6
airplane safe,8,0
durability,9,0
slide configuration,0,7
rubber band length,1,5
compostable,9,0
paper brightness,9,0
power requirement,9,9
year of establishment,3,6
dimensions (length x width),1,5
characteristic,3,6
condenser_type,2,1
refrigerant,8,9
hole-punch documents,9,7
band count,5,7
city,3,6
band style code,2,1
establishment year,3,6
rock holder material,6,3
table length,1,7
edge type,2,7
flueriser,3,6
alternate item number,7,4
approvals,7,0
power settings,9,9
colors,9,6
drawer style,0,7
year,3,6
ruling sides,0,7
standards,3,6
stickable,9,7
crossrails_location,0,7
sustainability,9,0
daily ice production capacity,8,9
counting method,5,2
storage,3,6
paper content,9,3
product material,4,3
shipping,3,6
premium,3,6
bakery type,2,1
circuit plate type,2,1
additional product title,4,4
covering_property,3,7
calories,9,9
adjustment mechanism,0,7
occasion,3,6
oven type,2,9
certifications,9,0
number of lines,5,2
shelf material (refrigerated section),6,3
carafes supported,0,0
coffee origin,9,0
fit,3,6
cleaning method,9,0
trough feature,0,8
weight (paper stock),5,2
recommended by,7,0
magnetic,9,0
printer compatibility,9,0
power consumption,9,9
reinforcement material,6,3
traverse quantity,1,2
product_1,4,4
suitable_for,7,0
acid-free,9,0
deli pan features,0,8
fiber_content,6,3
attachment type,2,1
manufacturing country,3,4
pack,5,6
whole_grain_content,9,0
coffee roast,9,9
support,3,6
incompatible material,6,3
compatible roll counts,5,2
sheets,0,2
templetes,3,7
corner feature,0,7
product description,4,4
frame material,6,3
seller_establishment_year,3,4
cook function features,7,8
package contains,7,0
quantity per ream,5,2
balance_material,0,7
compatible printer series,9,0
stamp count per roll,5,2
form factor,2,1
pack size,5,2
recycled content,9,0
ink system,9,0
weight (crated),5,2
burner rating,8,9
product_location,4,4
colors available,9,0
drain plate,0,7
number of pens,5,2
envelope type,2,1
point,3,6
special feature,7,8
surface characteristics,0,7
tab type,2,1
mpn_model,3,4
custom index sets by printing,7,7
leg type,2,7
acid_free,9,0
special protection,7,0
faucet,0,6
dimensions unit,1,5
burners,8,9
griddle_width,1,5
turndown,0,7
max cut capacity (sheets),5,2
urn trough,0,7
model_details,3,4
amps,3,6
frame/legs material,6,3
pad dimension,1,5
sheet size,1,5
package dimensions,1,5
dovetails,0,7
container type,2,1
preparation method,9,0
lid properties,0,7
writing_properties,9,0
index guides,7,7
application_surface,0,7
folder type,2,1
number of pads per carton,5,2
additional info,7,8
interior material,6,3
attachment,3,6
towel type,2,1
return policy,3,4
number of stainless steel doors,5,2
country-specific instructions,7,0
drawer access,0,7
custom_cabinet_door_accommodation,0,7
delivery method,3,4
cube_type,2,1
exterior,3,6
door handle,0,7
pages per week,5,2
quality check,9,0
rear doors,0,7
table height,1,7
package size,1,5
basket material,6,3
product style,4,4
feet,3,6
cleanse,9,6
table shape,0,7
weight type,2,1
surface type,2,1
model/part number,4,4
accent diamonds,7,7
number of tabs,5,2
compatibility note,7,0
role_of_wrist_rest,0,7
yield,3,6
tube_spacing,0,7
mechanism,3,6
fluidity,9,6
inserts,0,7
midshelf depth,1,5
wrist rest feature,0,8
gauge - legs,1,5
size (per wipe),1,5
number of stainless steel shelves,5,2
customization,7,0
cost effectiveness,9,0
warmer included,7,9
origination,3,6
non-skid,0,7
lid securement,0,7
number of racks,5,2
rack position options,0,7
holder size,1,5
seller/jeweler,3,4
release liner,0,7
roast level,8,9
back splash dimensions,1,5
wrist_rest_feature,0,8
reinforced_tabs,0,7
selling platform,3,4
backing type,2,1
tape size,1,5
perfect for,7,0
hot top size,1,5
additional requirements,7,8
recommended usage,7,0
product weight,4,4
tea type,9,1
urns trough dimensions,1,5
riser size,1,5
jeweler,3,6
indoor/outdoor,3,7
bin depth,1,7
sink location,0,7
available colors,9,0
card capacity,5,2
oven control,8,9
access_type,2,1
top thickness,1,5
storage capacity,5,2
part number,4,4
organic,3,6
pack size (oz),5,2
grid pattern,0,7
tank purchase,3,9
approved use,7,0
reams per carton,5,2
cooling,8,9
product_category,4,4
print quality description,9,0
burners description,8,9
kettle_material,6,3
lignin-free,9,0
additional_product_names,4,4
carafes,0,0
leak proof,9,0
maximum height per compartment,5,5
elongation,3,7
range type,2,1
griddle size,1,5
product attributes,4,4
oven controls,8,9
size (detached),1,5
sustainability certification,9,0
cartridge part number,5,4
back side,0,7
includes business card holder,0,7
customer_service,3,4
refillability,9,0
manufacturer warranty,3,0
compliance,3,0
universal fit,7,0
card type,2,1
maker,3,6
special recognition,7,0
number of index dividers,5,2
recognition,3,6
eco-friendliness,9,0
band style,2,1
cushioning type,2,1
motor power (fan),8,9
available materials,6,3
ink type,2,1
air management,8,9
gauge,1,6
internal organization,3,6
card holder,3,7
finish options,7,7
required specification for slide bar functionality,0,7
connectivity,3,6
height,1,6
material of shelves,6,3
product title,4,4
product retailer,4,4
top material,6,3
material feel,6,3
wall & ceiling material,6,3
product rule,4,4
leg feature,0,7
base,3,6
icemaker,8,9
sheet quantity per pad,5,2
e-commerce platform,3,4
material_top,6,3
serving type,2,1
edition year,3,6
related products,4,4
auto shut-off,0,9
inside rack height,1,5
pan/tray size compatibility,1,5
uses,7,6
tape core diameter,1,5
application type,2,1
configuration,3,6
layout style,0,7
epa_registration,9,0
pricing type,2,1
cold plate circuits,8,9
swivel,0,7
contains whole grain,9,0
follower blocks,7,7
drawer features,0,7
applied_printer_tech,9,0
product_type.1,4,4
insert sheet size,1,5
additional accolades,7,8
electrical requirements,9,9
highlight feature,7,8
crossrails materials,6,3
product_supplier,4,4
chocolate_type,2,1
sodium_content,9,0
suitable applications,7,0
certified,3,0
tip size,1,7
thermostat adjustment range,8,9
sheet features,0,7
channel,3,6
theme,3,6
cleanliness,9,0
number of wash cycles,5,2
duty classification,3,0
frequency,3,6
product codes,4,4
storage_bin_capacity,5,2
eraser_material,6,3
beam color,9,7
designer/brand,3,4
cartridge color,9,0
mechanical aid,0,0
crossrails_material,6,3
weight description,1,5
wide top,0,7
colors included,9,0
top dimensions,1,5
drain opening size,1,5
suitable drinks,9,0
product line,4,4
cold plate material,6,3
exterior_material,6,3
series applicable,7,0
measure,3,6
mounting track type,2,1
tray dimensions,1,5
quantity per carton,5,2
undershelf,0,7
deck type,2,7
attributes,3,6
alternative item number,7,4
oven_base,8,7
ice bin type,8,1
projection distance,1,7
vanilla mini cookies features,9,0
ignition system,8,9
stones_setting,3,7
card_dimension,5,7
security features,7,8
alternate model number,7,4
sweetened,9,0
max. rack,5,5
refill compatible,9,0
delivery,3,6
ice style,8,9
depth,1,6
item code,3,4
grease trough size,1,5
brakes,0,7
designer,3,6
printer technology,9,0
load type,2,1
crossrail material,6,3
mpn / model #,3,4
fit type,2,1
additional product,4,4
ships_via,3,4
center diamond cut,0,7
component,3,6
corner design,0,7
top length,1,5
produce pan,8,4
slice thickness,1,5
metal_type,6,1
page size,1,5
design details,0,8
loading type,2,1
alternate_items,7,4
sugar type,2,1
cec compliance,9,0
productcode,4,4
product_size,4,4
flue riser type,8,1
faucet center-to-center,0,5
number of compartments,5,2
number of photos,5,2
resists,9,0
design_style,0,7
operating method,3,6
listed in,7,6
other features,7,8
wrist support,0,7
material of circuits,6,3
envelope size,1,5
brewing pause 'n serve,8,9
templates availability,7,0
cookies type,2,0
broiler grid dimensions (wxh),1,5
casters size,1,5
riser height,0,5
traverse type,2,1
food_type,9,1
exterior finish,0,3
website,3,6
weight,1,6
product_url,4,4
control type,2,1
best used for,7,0
flavor,9,6
tearing resistance,9,0
condenser,8,9
efficacy,9,0
threaded stem,0,7
slide type,0,7
operation type,3,1
warranty information,9,0
binding,3,6
desk protection,0,7
writing style,9,6
safety features,7,8
sheet capacity per divider,5,2
specific usage,7,0
pilot type,2,1
built-in storage,7,8
pack weight,5,2
writing system,3,0
maximum stemware/tumbler diameter,1,5
established,3,6
scent,3,6
casters configuration,0,7
roast type,2,1
product_page,4,4
btu rating (lp),8,9
efficiency,9,6
model number,3,4
sheets_per_pad,5,2
dimensions & packaging info,1,5
product_part_number,4,4
removable,0,0
necklace type,2,1
feet material,6,3
sheet per pack,5,2
cord type,2,1
countertop edge,0,7
wipe_effectiveness,9,0
additional_title,7,4
oem warranty,3,0
front material,6,3
tank holder capacity,5,5
tube dimensions,1,5
pads_per_pack,5,2
construction,3,6
operation mode,3,6
carafe compatibility,9,0
calendar type,2,1
oven details,8,9
diameter,1,5
edge front,0,7
stemware_or_tumbler_maximum_diameter,1,5
founding family,3,6
exterior material,6,3
oven base,8,9
product form,4,4
lead time before shipping,3,4
compatible_printers,9,0
completegassystem,8,9
thickness (stock),1,5
wheel material,0,7
safety_setting,0,0
plug type,2,1
line characteristics,0,7
back style,0,7
matching items,7,7
security feature,7,8
recyclable,9,0
retailer establishment year,3,4
box contains,5,7
product_model,4,4
customization tool,7,0
corner material/feature,6,7
caster type,2,1
packaging_content,5,4
compatible roll/label types,2,1
other available colors,7,0
sealing,0,0
balance material,6,7
crossrailsmaterial,6,3
author,3,6
owned by,3,6
carton content,5,2
door mechanism,0,7
stackability,5,7
product series,4,4
binder compatibility,7,0
burner/hot top size,8,9
features,3,8
model/collection,3,4
margin rule color,0,7
installation method,0,0
maximum stemware or tumbler diameter,1,5
product id,4,4
company environmental contribution,9,0
number of fixed shelves,5,2
refrigeration,8,9
fat capacity,5,9
table_feature,0,7
wrist rest,0,7
whole grain content,9,0
kd,3,6
product size,4,4
product specifications,4,4
product status,4,4
positioning,3,7
energy save function,9,9
matching_envelopes,7,7
notification type,2,0
cartridge model,9,0
paper_weight,5,2
specific product type,4,4
dietary certification,9,0
levels,3,6
alternate_item,7,4
external finish color,9,3
griddle width,1,5
tip type,2,1
holder size (inch),1,5
squares per inch,5,2
slider_material,0,7
weight capacity per shelf,5,2
sweetener description,9,0
sheets per unit,5,2
export status,7,0
size (specific to this product),1,5
state,3,6
dirt types,2,1
secondary use,7,0
feeling,3,6
blade lock mechanism,0,7
class,3,6
self-contained condenser,8,9
built-in storage capacity,5,8
thermostat adjustability,8,9
trans fat,9,0
drain size,1,5
cartridge type,2,1
number of stationary traverses,5,2
dimensions,1,5
btu,8,9
fits sheet sizes,1,5
filter basket,0,0
product line/style,4,4
pack_quantity,5,2
burner btu,8,9
burners configuration,8,9
shelf life,9,0
compatible printers,9,0
inner packaging,5,2
number of wells,5,2
collection,3,6
seller/location,3,4
cavity size,1,5
coffee bean origin,9,0
gallon,3,6
cover type,2,1
compartment,5,7
oven,8,9
material of top,6,3
fryer_type,8,1
ring_style,0,7
material,6,3
attribute,3,6
filing capacity,5,2
line,3,6
recommendation,3,0
tube_dimension,1,5
tape width,1,5
product,4,4
tab_colors,0,7
packaging details,5,2
ink or toner transfer,9,0
key features,7,8
stock code,3,4
maximum stemware/tumbler height,1,5
mouse pad suitability,9,0
productid,4,4
mouse compatibility,9,0
alternative compatibility code,7,0
undercut at tab,0,7
sheets per book,5,2
daily ice production,8,9
intended_environment,7,0
material gauge,6,3
regulator,3,6
duty_type,2,1
keel compatibility,7,0
dolly type,2,1
model variant,3,4
calendar year,3,6
serving size,1,5
paper_type,9,1
tip_type,2,1
inner_packaging,5,4
certified source of whole grain,9,0
purity,9,6
mount,3,6
weekend scheduling,7,7
handle,3,6
guide_quantity,3,0
is refillable,9,0
leg height,1,5
back side finish,0,7
weight (lbs),1,5
cec compliant,9,0
control features,7,8
item type,2,1
grip_material,6,3
table top width,1,5
calories per serving,5,9
included features,7,8
heat,8,9
feet_type,2,1
product nature,4,4
backsplash size,1,5
rock_holder_material,6,3
number of guides,5,2
item #:,3,4
reliability,9,0
quality type,2,1
power_consumption,9,9
band design,0,7
variety,3,6
product use,4,0
seal type,2,1
backsplash height,1,5
wheel properties,0,7
bumpers,0,7
ease of cleaning,9,0
deck dimensions,1,5
gas type,8,9
pilot type (burners),8,9
surface colors,9,7
container_type,2,1
frame_material,6,3
productivity,9,6
product colors,4,4
hole diameter,1,5
roll diameter (nominal),1,5
wrist support cleanliness,0,0
width,1,5
refill pages,9,0
casters with brakes,0,7
sold as,3,4
package style,3,7
second product title,4,4
cut length,1,7
interior construction,0,7
model type,2,1
tab reinforcement,0,7
keyboard tray dimensions (w x d),1,5
ice storage capacity,5,9
oem status,3,4
properties,3,6
crossrails,0,7
table top material,6,3
tab position,0,7
rubber pads thickness,1,5
cube size,1,5
number of shelf plates,5,2
mounting_type,2,1
mouse_movement,0,7
flue riser dimensions,1,5
sub top material,6,3
threaded stem size,1,5
matching product,4,4
side style,0,7
griddle area,8,9
power_rating,9,9
product 2,4,4
efficiency features,7,8
dishwasher safe,9,0
hygiene,9,0
country of manufacture,3,4
filing capacity per drawer depth,5,2
installation characteristic,7,8
can be used under,7,0
blade type,2,7
compartments,5,7
top backsplash,0,7
shape,3,6
ease of reference,7,0
messy residue after removal,9,0
helpful tools,7,0
kettle material,6,3
components,3,6
grip description,0,7
dimensions (w x d),1,5
letter thickness,1,5
leg material,6,7
covering_material,6,3
tabletop material,6,3
capacity per wheel,5,2
power rating,9,9
adhesive technology,9,0
programmability,9,0
number of casters,5,2
grid height adjustment,1,7
ink properties,9,0
card_size,5,5
compatibility brand,7,0
type of jewelry,2,1
dimensions (wxd),1,5
quantity per package,5,2
oven ignition,8,9
burner type,8,9
burner_type,8,1
gas tanks,8,9
composition,3,6
primary_source,3,6
location,3,6
power_source,3,9
load capacity,5,2
capacity (volume),5,2
oven interior,0,9
product_material,4,4
pause & serve,0,9
print quality,9,0
recognitions,7,6
evaporator,8,9
yield type,2,1
warranty (oem),3,0
rubber band size,1,5
pack size (weight),5,2
freezer compartment,8,9
backsplash width,1,5
front & side rim type,0,7
