category,cluster_id,Manufacturer,Product Type,Width,Depth,Material,Height,Color,Manufacturer Stock Number,Heat,Voltage,Retail UPC
Home And Garden,1368322,Scotsman,"Ice Machines, Bins and Makers",121.9,n/a,stainless steel,n/a,n/a,C2648SR-3,n/a,208-230V,n/a
Home And Garden,1088579,Rubbermaid,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",36.8,26.7,plastic,38.9,Gray and Metallic,FG254300GRAY,n/a,n/a,n/a
Home And Garden,736224,Turbo Air,Food and Drink Preparation and Cooking Equipment,n/a,n/a,n/a,n/a,n/a,TMW-1200HD,electric,115V,n/a
Home And Garden,732215,Carlisle,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",n/a,n/a,polyethylene,97.2,Yellow,34113204,n/a,n/a,n/a
Home And Garden,1033703,Carlisle,"Carts, Dollies and Transportation",68.6,45.7,stainless steel,86.4,n/a,UC3031827,n/a,n/a,n/a
Home And Garden,772395,Advance Tabco,"Furniture, Storage, Racks and Fixtures",274.3,76.2,stainless steel,116.8,n/a,BEV-30-108R,n/a,n/a,n/a
Home And Garden,1403189,Federal Industries,"Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration",182.9,99.1,metal,177.8,Black,2CD3628SS/RSS6SC,n/a,120V,n/a
Home And Garden,10577994,Montague Company,Food and Drink Preparation and Cooking Equipment,91.4,n/a,stainless steel,n/a,Black,136-14,gas,n/a,n/a
Home And Garden,6273352,Blodgett,Food and Drink Preparation and Cooking Equipment,182.9,n/a,stainless steel,n/a,n/a,BPM-6HT,gas,n/a,n/a
Home And Garden,11228989,Advance Tabco,"Furniture, Storage, Racks and Fixtures",365.8,61.0,stainless steel,90.2,n/a,AG-2412,n/a,n/a,n/a
Home And Garden,1044665,Advance Tabco,"Furniture, Storage, Racks and Fixtures",91.4,61.0,stainless steel,n/a,n/a,EK-SS-243M,n/a,n/a,n/a
Home And Garden,1507135,Hoshizaki,"Ice Machines, Bins and Makers",38.1,n/a,stainless steel,83.8,n/a,C-101BAH-DS,n/a,115V,n/a
Home And Garden,1426143,Advance Tabco,"Furniture, Storage, Racks and Fixtures",121.9,61.0,stainless steel,102.9,n/a,CK-SS-244M,n/a,n/a,n/a
Home And Garden,1544113,Rubbermaid,"Carts, Dollies and Transportation",99.1,45.4,polymer,84.5,Beige,FG450088BEIG,n/a,n/a,n/a
Home And Garden,1035723,Turbo Air,"Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration",121.9,n/a,stainless steel,n/a,n/a,TWF-48SD-D2,n/a,115V,n/a
Home And Garden,1314852,John Boos,"Furniture, Storage, Racks and Fixtures",304.8,61.0,stainless steel,n/a,n/a,ST6R5-24120SBK,n/a,n/a,n/a
Home And Garden,1607452,Advance Tabco,"Furniture, Storage, Racks and Fixtures",304.8,91.4,stainless steel,102.9,n/a,TSKG-3610,n/a,n/a,n/a
Home And Garden,11381489,Anchor Hocking,Food and Drink Preparation and Cooking Equipment,n/a,n/a,glass,n/a,Blue,82644OBL5,n/a,n/a,n/a
Home And Garden,37121,Eurodib,Food and Drink Preparation and Cooking Equipment,n/a,n/a,stainless steel,n/a,Gray and Metallic,SFE01860-120,electric,120V,n/a
Home And Garden,2150147,Kimberly-Clark,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",20.0,n/a,paper,n/a,White,KCC43753,n/a,n/a,036000437539
Home And Garden,1048528,Advance Tabco,"Furniture, Storage, Racks and Fixtures",304.8,91.4,stainless steel,91.4,n/a,TVSS-3610,n/a,n/a,n/a
Home And Garden,737865,Cambro,"Furniture, Storage, Racks and Fixtures",50.2,25.4,plastic,34.9,Red,17HS1114-416,n/a,n/a,099511334643
Home And Garden,1557633,Cambro,"Furniture, Storage, Racks and Fixtures",8.9,n/a,n/a,9.2,Blue,25S318168,n/a,n/a,n/a
Home And Garden,455683,MagiKitch'n,Food and Drink Preparation and Cooking Equipment,152.4,n/a,stainless steel,n/a,Gray and Metallic,LPAGA-60-SS,gas,n/a,n/a
Home And Garden,1573660,Advance Tabco,"Furniture, Storage, Racks and Fixtures",302.3,76.2,stainless steel,111.8,n/a,DTC-K30-120R,n/a,n/a,n/a
Home And Garden,1293783,Cambro,Dishwashers and related Equipment,7.9,n/a,n/a,29.8,Blue,30S1114168,n/a,n/a,n/a
Home And Garden,461868,Cambro,Dishwashers and related Equipment,50.2,50.2,plastic,30.8,Green,16S1058-119,n/a,n/a,099511609208
Home And Garden,281525,Nemco,Food and Drink Preparation and Cooking Equipment,47.0,44.5,stainless steel,n/a,Gray and Metallic,8018-BW-220,electric,220V,n/a
Home And Garden,1114755,Royal Industries,"Furniture, Storage, Racks and Fixtures",152.4,76.2,plastic,77.8,Brown,COR BT 3060,n/a,n/a,n/a
Home And Garden,1030897,John Boos,"Ice Machines, Bins and Makers",61.0,53.3,stainless steel,76.2,n/a,EUBIB-2421CP7,n/a,n/a,n/a
Home And Garden,450221,APW Wyott,Food and Drink Preparation and Cooking Equipment,61.0,63.5,iron,n/a,n/a,GCRB-24I-CE,gas,n/a,n/a
Home And Garden,1581344,Cambro,"Furniture, Storage, Racks and Fixtures",14.9,n/a,n/a,21.6,Red,9S800416,n/a,n/a,n/a
Home And Garden,71538,Cambro,"Furniture, Storage, Racks and Fixtures",50.2,50.2,plastic,18.4,Green,16S434-119,n/a,n/a,099511333028
Home And Garden,1713239,Advance Tabco,"Furniture, Storage, Racks and Fixtures",149.9,76.2,stainless steel,111.8,n/a,DTS-G30-60R,n/a,n/a,n/a
Home And Garden,603020,Advance Tabco,"Furniture, Storage, Racks and Fixtures",274.3,243.8,stainless steel,113.0,n/a,DTS-U30-96L,n/a,n/a,n/a
Home And Garden,1789727,Advance Tabco,"Furniture, Storage, Racks and Fixtures",365.8,121.9,stainless steel,90.2,n/a,TVLG-4812,n/a,n/a,n/a
Home And Garden,3117811,HON,"Furniture, Storage, Racks and Fixtures",87.6,32.1,metal,206.1,Black,HONS82ABCS,n/a,n/a,631530495457
Home And Garden,900416,Cambro,Dishwashers and related Equipment,50.2,50.2,n/a,22.5,Red,BR712416,n/a,n/a,n/a
Home And Garden,603885,Food Warming Equipment Company,"Furniture, Storage, Racks and Fixtures",53.3,71.1,aluminum,172.7,n/a,ETC-1826-15-40,n/a,n/a,n/a
Home And Garden,1016830,John Boos,"Furniture, Storage, Racks and Fixtures",182.9,45.7,epoxy coated,n/a,Green,EPS-1872-G,n/a,n/a,n/a
